date;time;prec;surfwet;glorad;metp;megrtp;mesotp10;mesotp30;meanrh;meanwd;meanwv;wd2;wv2;pres;netrad;heatflux
2024-01-01;00:00:00;0.1;0;0;5.2;5;5;5.1;96.4;133.6;0;133.6;2.6;988.1;-9.5;0.1
2024-01-01;01:00:00;0.1;0;0;5.3;5.1;5;5.1;96.4;135.4;0;135.4;2.9;988.1;-13.6;0.1
2024-01-01;02:00:00;0;0;0;5.3;4.9;5;5.1;95.8;140;0;140;3.3;987.9;-32.8;0.1
2024-01-01;03:00:00;0;0;0;5;4.4;5;5.1;95.4;138.2;0;138.2;3;987.9;-53.1;-0.2
2024-01-01;04:00:00;0;0;0;4.7;4.3;5;5.1;96;126.3;0;126.3;2.5;987.9;-24.5;-0.9
2024-01-01;05:00:00;0.1;0;0.1;4.8;4.5;5;5.1;96.2;124;0;124;2.6;987.9;-12.7;-1.6
2024-01-01;06:00:00;0;0;0;4.8;4.5;5;5.1;96.3;116.3;0;116.3;2.8;987.9;-14.9;-1.6
2024-01-01;07:00:00;0.3;0;0.1;4.9;4.6;5;5.2;96.3;121.2;0;121.2;2.9;988.2;-11.8;-1.6
2024-01-01;08:00:00;0.1;0;0.5;5;4.7;5;5.2;96.1;118.8;0;118.8;2.7;988.5;-11.7;-1.5
2024-01-01;09:00:00;0;0;3.8;5;4.7;5;5.2;95.6;120.4;0;120.4;2.9;988.8;-8.5;-1.3
2024-01-01;10:00:00;0.7;0;12.5;5;4.8;5;5.2;95.8;120.9;0;120.9;3.2;988.9;-1;-1.1
2024-01-01;11:00:00;0.4;0;32;5.1;5.1;5;5.2;96.1;121.2;0;121.2;3.2;989.3;14.4;-0.8
2024-01-01;12:00:00;0;0;26.1;5.3;5.2;5;5.2;95.9;119.8;0;119.8;2.9;989.4;8.2;-0.2
2024-01-01;13:00:00;0;0;28.3;5.3;5.3;5;5.2;95.6;109;0;109;2.8;989.4;10.9;0.4
2024-01-01;14:00:00;0;0;16.4;5.3;5.1;5.1;5.2;95.2;112.1;0;112.1;3.2;989.4;-1.4;0.8
2024-01-01;15:00:00;0;0;2.2;5.3;5;5.1;5.2;94.6;116.4;0;116.4;3.5;989.4;-17.1;1
2024-01-01;16:00:00;0;0;0;5.2;4.9;5.1;5.2;94.7;113.4;0;113.4;3.4;989.7;-12.8;0.9
2024-01-01;17:00:00;0.1;0;0;5.2;4.9;5.1;5.2;94.7;115.6;0;115.6;3.4;990.1;-8.7;0.6
2024-01-01;18:00:00;0.8;0;0;5.1;4.8;5.1;5.3;95.6;112.6;0;112.6;3.2;990.4;-7.7;0.3
2024-01-01;19:00:00;1.8;0;0.1;4.9;4.7;5.2;5.3;95.8;110.5;0;110.5;3.1;990.8;-8.5;0.1
2024-01-01;20:00:00;0.8;0;0;4.8;4.7;5.2;5.3;96;111.1;0;111.1;2.4;991.2;-7.2;-0.1
2024-01-01;21:00:00;0.3;0;0;4.4;4.4;5.2;5.3;96;111.3;0;111.3;3.2;991.3;-6.4;-0.4
2024-01-01;22:00:00;0.2;0;0;4.2;4.1;5.2;5.3;96.3;111.6;0;111.6;3.8;991.6;-6.1;-0.6
2024-01-01;23:00:00;0;0;0;4.1;4.1;5.2;5.3;96.5;101.7;0;101.7;3.4;991.9;-5.8;-1
2024-01-02;00:00:00;0.3;0;0;4;4;5.1;5.3;96.6;111.1;0;111.1;3.6;991.9;-6.2;-1.4
2024-01-02;01:00:00;0.6;0;0.1;3.8;3.8;5.1;5.3;96.4;113;0;113;4;991.8;-5.5;-1.7
2024-01-02;02:00:00;0.3;0;0.1;3.7;3.7;5.1;5.3;96.6;111.6;0;111.6;3.9;991.7;-5.3;-2.1
2024-01-02;03:00:00;0.1;0;0;3.7;3.6;5.1;5.3;96.6;112.2;0;112.2;4.1;991.7;-5.8;-2.4
2024-01-02;04:00:00;0;0;0.1;3.4;3.4;5.1;5.3;96.2;112.7;0;112.7;4.1;991.5;-5.6;-2.7
2024-01-02;05:00:00;0;0;0.1;3.3;3.3;5.1;5.3;96.6;103.8;0;103.8;4.1;990.8;-5;-3
2024-01-02;06:00:00;0;0;0;3.1;3.1;5;5.3;96.3;102.2;0;102.2;4.6;990.5;-4.9;-3.4
2024-01-02;07:00:00;0;0;0.7;2.7;2.7;5;5.3;96.2;106.9;0;106.9;5.3;990.4;-3.6;-3.8
2024-01-02;08:00:00;0.3;0;0.1;2.6;2.6;5;5.3;96.4;110.2;0;110.2;4.8;990.5;-4.3;-4.4
2024-01-02;09:00:00;0;0;4.8;2.4;2.4;4.9;5.3;96;105;0;105;5.3;990.4;-1.6;-4.9
2024-01-02;10:00:00;0;0;18.7;2.2;2.2;4.9;5.3;95.8;107;0;107;5.9;990.2;9.9;-5.5
2024-01-02;11:00:00;0;0;23.9;2.1;2.1;4.8;5.3;95.4;110.6;0;110.6;5.8;990;14.5;-5.8
2024-01-02;12:00:00;0.6;0;33.5;1.8;1.8;4.8;5.3;94.7;103.6;0;103.6;6.2;989.6;22.8;-6.1
2024-01-02;13:00:00;0.1;0;23.4;1.5;1.5;4.7;5.3;94;102.3;0;102.3;6.2;989;13.8;-6.5
