date;time;prec;surfwet;glorad;metp;megrtp;mesotp10;mesotp30;meanrh;meanwd;meanwv;wd2;wv2;pres;netrad;heatflux
2024-01-02;14:00:00;0;0;9.8;1.1;1.1;4.7;5.2;94.1;96.6;0;96.6;5.5;988.3;2.8;-7.1
2024-01-02;15:00:00;0;0;3.3;0.9;0.8;4.6;5.2;92.9;99.4;0;99.4;6.3;987.8;-2.9;-7.9
2024-01-02;16:00:00;0;0;0.2;0.8;0.5;4.6;5.2;91;99.1;0;99.1;6.5;987.2;-6.5;-8.8
2024-01-02;17:00:00;0;0;0;0.8;0.3;4.5;5.2;88.2;103;0;103;7.3;986.4;-8.5;-9.8
2024-01-02;18:00:00;0;0;0;0.7;0.1;4.4;5.1;86.7;95.6;0;95.6;7.4;985.6;-8.7;-10.7
2024-01-02;19:00:00;0;0;0;0.7;0;4.3;5.1;85;95.3;0;95.3;7.7;985;-9.3;-11.5
2024-01-02;20:00:00;0;0;0.1;0.5;-0.1;4.2;5.1;86.3;99.7;0;99.7;7;984.2;-8.6;-12.2
2024-01-02;21:00:00;0;0;0;0.2;-0.2;4.1;5;87.7;94.9;0;94.9;7;983.5;-6.4;-12.9
2024-01-02;22:00:00;0;0;0;-0.2;-0.4;4;5;90.5;94.8;0;94.8;7;982.9;-4.8;-13.5
2024-01-02;23:00:00;0.1;0;0;-0.5;-0.6;3.9;4.9;92;88.4;0;88.4;6.9;981.9;-4.2;-14.5
2024-01-03;00:00:00;0;0;0;-0.8;-0.7;3.8;4.9;93.2;84.4;0;84.4;6.7;981.2;-3.3;-15.3
2024-01-03;01:00:00;0.3;0;0;-0.9;-0.6;3.7;4.8;93.2;87.1;0;87.1;7.6;980.5;-3.8;-15.5
2024-01-03;02:00:00;0.3;0;0;-0.9;-0.4;3.7;4.8;93.6;82;0;82;7.9;980;-3.3;-15.3
2024-01-03;03:00:00;0.4;0;0;-1.3;-0.1;3.6;4.7;94.4;83;0;83;7.3;979.4;-3.1;-14.8
2024-01-03;04:00:00;0.2;0;0;-1.4;0.3;3.5;4.7;94.2;83.6;0;83.6;7.7;979;-3;-14.1
2024-01-03;05:00:00;0.3;0;0.1;-1.6;0.6;3.5;4.7;94.1;78.2;0;78.2;8.2;978.8;-2.7;-13.4
2024-01-03;06:00:00;0.2;0;0.1;-1.5;0.7;3.5;4.6;94;80.4;0;80.4;7.6;978.6;-3.6;-12.8
2024-01-03;07:00:00;0.1;0;0.2;-1.6;0.7;3.5;4.6;94;80.7;0;80.7;7.8;978.6;-3;-12.3
2024-01-03;08:00:00;0.4;0;0.5;-1.7;0.7;3.5;4.5;93.9;75.2;0;75.2;7.6;978.7;-3.2;-11.8
2024-01-03;09:00:00;0.1;0;13.8;-1.7;0.8;3.4;4.5;94;78.4;0;78.4;7.4;978.9;-0.7;-11.4
2024-01-03;10:00:00;0;0;44.9;-1.5;0.8;3.4;4.5;92.2;79;0;79;8.1;979;4;-11.1
2024-01-03;11:00:00;0;0;49;-1.6;0.8;3.4;4.4;91.6;74.7;0;74.7;8;979.1;5.8;-10.8
2024-01-03;12:00:00;0;0;81.6;-1.7;0.7;3.4;4.4;92.2;70.8;0;70.8;7.5;979;12.2;-10.6
2024-01-03;13:00:00;0;0;61.7;-1.6;0.7;3.4;4.4;91.1;74.3;0;74.3;7.9;979;5.7;-10.3
2024-01-03;14:00:00;0;0;42.9;-1.6;0.6;3.4;4.4;91.8;73.8;0;73.8;7.4;978.9;4;-10.1
2024-01-03;15:00:00;0;0;17.5;-1.6;0.3;3.4;4.4;91.4;66.4;0;66.4;7.5;979.2;-1.9;-9.8
2024-01-03;16:00:00;0;0;1.9;-1.7;0.6;3.4;4.3;91.4;67.6;0;67.6;7.9;979.4;-5.9;-9.7
2024-01-03;17:00:00;0;0;0;-1.8;0.4;3.4;4.3;90.3;63.9;0;63.9;7.4;979.8;-6.6;-9.6
2024-01-03;18:00:00;0;0;0;-2.1;0;3.4;4.3;91.4;59.1;0;59.1;7.2;980.5;-4.5;-9.4
2024-01-03;19:00:00;0;0;0;-2.3;0.5;3.4;4.3;90.3;62.5;0;62.5;7.5;981.1;-5.5;-9.3
2024-01-03;20:00:00;0;0;0;-2.5;0.5;3.4;4.3;88.5;56.4;0;56.4;7.1;981.8;-6.3;-9.1
2024-01-03;21:00:00;0;0;0;-2.6;0.4;3.4;4.3;87.1;55.9;0;55.9;7.2;982.5;-7.4;-9
2024-01-03;22:00:00;0.3;0;0;-2.9;0.4;3.4;4.3;88.7;62.3;0;62.3;7.8;983.2;-5.7;-9
2024-01-03;23:00:00;0;0;0;-3.1;0.3;3.3;4.2;89;63.8;0;63.8;7.2;983.7;-7.6;-8.9
2024-01-04;00:00:00;0;0;0.1;-3.2;0.2;3.3;4.2;89.1;56.1;0;56.1;6.1;984.6;-6.4;-8.8
2024-01-04;01:00:00;0.1;0;0;-3.2;-0.1;3.3;4.2;86.7;55.8;0;55.8;6.1;985.3;-6.7;-8.7
2024-01-04;02:00:00;0;0;0;-3.1;-0.4;3.3;4.2;82.4;59.5;0;59.5;5.5;986.1;-8.3;-8.6
2024-01-04;03:00:00;0;0;0;-2.9;-0.7;3.3;4.2;78.6;53.3;0;53.3;5.1;986.9;-9.3;-8.5
2024-01-04;04:00:00;0;0;0;-3.1;-0.3;3.3;4.2;79.2;55.5;0;55.5;4.4;987.8;-9.2;-8.5
2024-01-04;05:00:00;0;0;0;-3.3;-0.2;3.3;4.2;79.2;56.1;0;56.1;4.7;988.6;-9.1;-8.4
2024-01-04;06:00:00;0;0;0;-3.3;-0.4;3.3;4.2;77.6;54.3;0;54.3;4.1;989.6;-9.8;-8.3
2024-01-04;07:00:00;0;0;0;-3.5;-0.2;3.3;4.1;79.9;61.2;0;61.2;3.7;990.8;-9.3;-8.3
2024-01-04;08:00:00;0;0;1.1;-3.7;0;3.3;4.1;81.1;53;0;53;3.4;991.8;-9.9;-8.2
2024-01-04;09:00:00;0;0;10.6;-3.4;-0.1;3.2;4.1;73.1;58.4;0;58.4;2.6;992.8;-9.3;-8.2
2024-01-04;10:00:00;0;0;42.4;-3.4;-0.1;3.2;4.1;70.8;50.1;0;50.1;3.3;993.7;-6.1;-8.2
2024-01-04;11:00:00;0;0;82;-3.8;-0.2;3.2;4.1;76.2;67.4;0;67.4;2.3;994.5;-7.1;-8.1
2024-01-04;12:00:00;0;0;81.4;-4.5;-0.4;3.2;4.1;83.9;81.4;0;81.4;2.1;995.2;-3.7;-8.1
2024-01-04;13:00:00;0.1;0;60.7;-4.8;-0.4;3.2;4.1;85.1;98;0;98;1.8;995.8;3.4;-8
2024-01-04;14:00:00;0;0;61.3;-4.9;-0.4;3.2;4.1;80.2;60.9;0;60.9;1.9;996.2;-8.8;-8
2024-01-04;15:00:00;0;0;33.1;-5.3;-0.4;3.2;4.1;76.5;56;0;56;2.2;996.6;-40.9;-8
2024-01-04;16:00:00;0;0;2.6;-5.6;-0.9;3.2;4;83.4;57.6;0;57.6;0.7;997.2;-12.4;-7.9
2024-01-04;17:00:00;0;0;0;-5.7;-1.5;3.2;4;85.6;120.2;0;120.2;0;997.5;-13;-8
2024-01-04;18:00:00;0;0;0.2;-5.7;-2.1;3.2;4;86.6;194.6;0;194.6;0;998;-8;-8
2024-01-04;19:00:00;0;0;0.1;-5.4;-2.1;3.2;4;80.8;102;0;102;0.4;998.7;-10.7;-8
2024-01-04;20:00:00;0;0;0;-5;-1;3.2;4;76.2;54.5;0;54.5;0.4;999.1;-9.8;-8
2024-01-04;21:00:00;0;0;0;-5;-0.9;3.2;4;79.1;55.3;0;55.3;0.3;999.5;-10;-8.1
2024-01-04;22:00:00;0;0;0;-4.9;-0.6;3.1;4;81.6;62.2;0;62.2;0.8;999.6;-10.9;-8.1
2024-01-04;23:00:00;0;0;0;-4.9;-0.4;3.1;4;81.3;66.2;0;66.2;0.3;999.7;-11.7;-8.1
2024-01-05;00:00:00;0;0;0;-5.1;-0.3;3.1;4;81.6;62.9;0;62.9;0.6;999.6;-14.8;-8.1
2024-01-05;01:00:00;0;0;0;-5.1;-0.2;3.1;4;81.5;68.6;0;68.6;0.7;999.7;-10.9;-8.1
2024-01-05;02:00:00;0;0;0;-5.1;-0.3;3.1;4;79.9;69.9;0;69.9;0.4;999.7;-8.3;-8.1
2024-01-05;03:00:00;0;0;0;-5.1;-0.1;3.1;3.9;80.5;62.4;0;62.4;2.4;999.6;-7.7;-8.1
2024-01-05;04:00:00;0;0;0;-5.4;0;3.1;3.9;78.5;63.6;0;63.6;3;999.4;-8.2;-8.1
2024-01-05;05:00:00;0;0;0;-5.3;-0.1;3.1;3.9;73.1;68.9;0;68.9;2.5;999.2;-7.9;-8.1
2024-01-05;06:00:00;0;0;0;-5.5;-0.1;3.1;3.9;75.6;68;0;68;2.7;999.2;-7.3;-8.1
2024-01-05;07:00:00;0;0;0.1;-5.7;0;3.1;3.9;75.2;72.2;0;72.2;2.5;999.4;-6.4;-8.2
2024-01-05;08:00:00;0;0;0.4;-5.8;0;3.1;3.9;76.4;69.8;0;69.8;3.2;999.5;-6.5;-8.3
2024-01-05;09:00:00;0;0;10.6;-6.1;0;3.1;3.9;78;66.1;0;66.1;3.3;999.5;-3.3;-8.3
2024-01-05;10:00:00;0;0;38.7;-6.4;0;3;3.9;75.6;72.4;0;72.4;3.6;999.9;3.6;-8.4
2024-01-05;11:00:00;0;0;51.4;-6.6;-0.3;3;3.9;76.1;77.2;0;77.2;3.4;1000.4;7.9;-8.5
2024-01-05;12:00:00;0;0;52.1;-6.7;-0.5;3;3.9;76.2;76.1;0;76.1;3.8;1000.1;5.2;-8.5
2024-01-05;13:00:00;0;0;54.4;-6.7;-0.3;3;3.9;76.3;73.2;0;73.2;3.7;999.7;3.7;-8.6
2024-01-05;14:00:00;0;0;39.3;-6.8;0;3;3.9;76.6;67.3;0;67.3;3.8;999.5;-7.5;-8.8
2024-01-05;15:00:00;0;0;17.7;-7.1;0;3;3.8;77;70.2;0;70.2;3.7;999.6;-20.4;-9
2024-01-05;16:00:00;0;0;1.1;-7.7;-0.2;3;3.8;78.4;67.6;0;67.6;2.8;999.9;-30.5;-9.3
2024-01-05;17:00:00;0;0;0;-8.2;-0.7;3;3.8;80;59.5;0;59.5;2.3;1000.2;-30.3;-9.6
2024-01-05;18:00:00;0;0;0;-8.4;-1.1;3;3.8;81.5;51.9;0;51.9;1.9;1000.5;-30.1;-10
2024-01-05;19:00:00;0;0;0;-8.6;-1.6;2.9;3.8;83.7;62;0;62;0.8;1000.7;-34.9;-10.5
2024-01-05;20:00:00;0;0;0;-8.7;-2.1;2.9;3.8;85;70.8;0;70.8;0.3;1001;-32.9;-11
2024-01-05;21:00:00;0;0;0;-8.9;-2.3;2.9;3.8;86.8;91.3;0;91.3;0;1001.4;-27.8;-11.5
2024-01-05;22:00:00;0;0;0;-7.9;-2.1;2.9;3.8;84;70.1;0;70.1;1.2;1001.8;-25.1;-12
2024-01-05;23:00:00;0;0;0;-7.9;-2.3;2.8;3.8;84.2;58.9;0;58.9;0.3;1002.2;-25.1;-12.5
2024-01-06;00:00:00;0;0;0;-8.5;-2.4;2.8;3.8;86;91.9;0;91.9;0;1002.5;-17.5;-12.8
2024-01-06;01:00:00;0;0;0;-7.8;-2.4;2.8;3.7;86.9;90.5;0;90.5;0.4;1002.8;-15.3;-13
2024-01-06;02:00:00;0;0;0;-6.7;-2.2;2.7;3.7;84.2;81.3;0;81.3;1.6;1003.5;-22;-13.2
2024-01-06;03:00:00;0;0;0;-6.7;-1.9;2.7;3.7;81.9;84.4;0;84.4;2.3;1004.1;-27.5;-13.2
2024-01-06;04:00:00;0;0;0;-5.9;-1.8;2.6;3.7;81.2;79.1;0;79.1;1.9;1004.6;-4.4;-13.2
2024-01-06;05:00:00;0;0;0;-4.9;-1.2;2.6;3.6;80;73.6;0;73.6;2.7;1005.2;-6.9;-13.1
2024-01-06;06:00:00;0;0;0;-4.9;-1.1;2.5;3.6;79.8;74.7;0;74.7;1.9;1005.7;-21;-12.9
2024-01-06;07:00:00;0;0;0;-6.2;-1.4;2.5;3.6;81.6;67.4;0;67.4;0.6;1006.3;-39.7;-12.7
2024-01-06;08:00:00;0;0;0.3;-6.8;-1.9;2.5;3.6;83.2;61.8;0;61.8;1.3;1007.1;-39.9;-12.5
2024-01-06;09:00:00;0;0;17.6;-7.2;-2.5;2.5;3.6;84.8;50.2;0;50.2;0;1007.8;-34.4;-12.5
2024-01-06;10:00:00;0;0;80.1;-7.4;-3.3;2.4;3.5;86.1;101.7;0;101.7;0.1;1008.8;-14;-12.6
2024-01-06;11:00:00;0;0;160.2;-6.9;-3.6;2.4;3.5;84;65.9;0;65.9;0.1;1009.6;8.7;-12.7
2024-01-06;12:00:00;0;0;207.8;-6.1;-3.3;2.4;3.5;79.8;48.9;0;48.9;0.6;1009.8;5.1;-12.8
2024-01-06;13:00:00;0;0;176;-5.3;-3.2;2.4;3.5;74;61.2;0;61.2;0.9;1010;-25.2;-12.8
2024-01-06;14:00:00;0;0;114;-5.3;-2.7;2.3;3.4;69.6;56.3;0;56.3;2.6;1010.4;-45.9;-12.6
2024-01-06;15:00:00;0;0;32.9;-5.9;-2.3;2.3;3.4;73.6;59.3;0;59.3;2.3;1011;-55.9;-12.6
2024-01-06;16:00:00;0;0;0.7;-7;-3.1;2.3;3.4;77.4;57.2;0;57.2;0.2;1011.4;-49.7;-12.5
2024-01-06;17:00:00;0;0;0;-8.1;-4;2.3;3.4;81.6;70.6;0;70.6;0;1012.1;-46;-12.5
2024-01-06;18:00:00;0;0;0;-9;-5.1;2.2;3.4;86.3;148.2;0;148.2;0;1012.6;-37.8;-12.6
2024-01-06;19:00:00;0;0;0;-9.6;-6.3;2.2;3.3;88.5;152.7;0;152.7;0;1013.1;-20.9;-12.7
2024-01-06;20:00:00;0;0;0;-10.5;-7.6;2.2;3.3;90.4;288.3;0;288.3;0;1013.6;-6.8;-12.8
2024-01-06;21:00:00;0;0;0;-11.4;-8.3;2.2;3.3;89;243.7;0;243.7;0;1014;0.2;-12.8
2024-01-06;22:00:00;0;0;0;-12.1;-8.8;2.1;3.3;89.1;318.6;0;318.6;0;1014.3;3.6;-12.9
2024-01-06;23:00:00;0;0;0;-12.3;-8.8;2.1;3.3;89.8;348.2;0;348.2;0;1014.7;5;-12.9
2024-01-07;00:00:00;0;0;0;-12.5;-8.2;2.1;3.2;89.5;328.1;0;328.1;0;1015.2;6.4;-12.8
2024-01-07;01:00:00;0;0;0;-12.5;-7.4;2;3.2;89.6;338.5;0;338.5;0;1015.6;6.5;-12.8
2024-01-07;02:00:00;0;0;0;-12.4;-7.4;2;3.2;89.5;286.2;0;286.2;0;1016;7.6;-12.8
2024-01-07;03:00:00;0;0;0;-12.7;-6.9;1.9;3.2;89;236.1;0;236.1;0;1016.4;8.3;-12.8
2024-01-07;04:00:00;0;0;0;-12.5;-7.6;1.9;3.1;89.6;348.8;0;348.8;0;1016.7;8.1;-12.8
2024-01-07;05:00:00;0;0;0;-12.4;-8.1;1.9;3.1;89.4;347.8;0;347.8;0;1017.1;8.2;-12.7
2024-01-07;06:00:00;0;0;0;-12.3;-8.3;1.8;3.1;89.1;327.9;0;327.9;0;1017.5;8.1;-12.7
2024-01-07;07:00:00;0;0;0;-12.2;-7.5;1.8;3.1;89.5;239.7;0;239.7;0;1018;8.3;-12.7
2024-01-07;08:00:00;0;0;0.5;-10.7;-7.8;1.8;3;89.5;205.1;0;205.1;0;1018.6;5.8;-12.7
2024-01-07;09:00:00;0;0;65.4;-11.2;-8.5;1.8;3;89;298.6;0;298.6;0;1019.3;16.2;-12.6
2024-01-07;10:00:00;0;0;180.4;-11.1;-8.4;1.7;3;89.1;345.2;0;345.2;0;1020.2;47.9;-12.6
2024-01-07;11:00:00;0;0;223.6;-10.7;-8;1.7;3;89;319.2;0;319.2;0;1021;57.1;-12.6
2024-01-07;12:00:00;0;0;153.1;-9.3;-7.6;1.7;2.9;90.1;340;0;340;0;1021.3;38.9;-12.5
2024-01-07;13:00:00;0;0;65.7;-7.5;-5.6;1.7;2.9;91.6;266.2;0;266.2;0;1021.4;16.7;-12.5
2024-01-07;14:00:00;0;0;45;-6.4;-4.5;1.6;2.9;91.9;311.3;0;311.3;0.1;1021.6;11.4;-12.4
2024-01-07;15:00:00;0;0;48.4;-6.3;-4.1;1.6;2.9;91.5;302.1;0;302.1;0;1021.9;14;-12.3
2024-01-07;16:00:00;0;0;1.3;-7.2;-4.8;1.6;2.9;90.6;340.9;0;340.9;0;1022.3;-4.1;-12.2
2024-01-07;17:00:00;0;0;0;-7.6;-6;1.6;2.8;91.5;340.6;0;340.6;0.1;1022.8;-3.8;-12.1
2024-01-07;18:00:00;0;0;0;-8.2;-6.5;1.6;2.8;91.3;341.1;0;341.1;0.1;1023.4;-3.4;-12
2024-01-07;19:00:00;0;0;0;-8.3;-6.3;1.6;2.8;92;305.2;0;305.2;0.1;1023.8;-4;-11.9
2024-01-07;20:00:00;0;0;0;-8.3;-6.7;1.5;2.8;91.1;312.4;0;312.4;0.2;1024.5;-3.3;-11.9
2024-01-07;21:00:00;0;0;0;-9;-7.8;1.5;2.8;90.8;350.3;0;350.3;0.1;1025;-1.9;-11.9
2024-01-07;22:00:00;0;0;0;-9.5;-7.2;1.5;2.7;90.4;340;0;340;0;1025.2;0.6;-11.8
2024-01-07;23:00:00;0;0;0.1;-9.4;-6.7;1.5;2.7;90.4;341.5;0;341.5;0;1025.9;2.7;-11.8
2024-01-08;00:00:00;0;0;0.1;-8.4;-6.3;1.5;2.7;90.3;325.2;0;325.2;0;1026.6;3.7;-11.8
2024-01-08;01:00:00;0;0;0;-8.1;-6.1;1.5;2.7;89;330.4;0;330.4;0;1026.8;-0.9;-11.8
2024-01-08;02:00:00;0;0;0;-9;-6.9;1.5;2.7;88.6;348.2;0;348.2;0;1026.8;-2.1;-11.7
2024-01-08;03:00:00;0;0;0;-9.6;-6.7;1.4;2.7;89.1;322.1;0;322.1;0;1027;-0.8;-11.7
2024-01-08;04:00:00;0;0;0;-10.3;-7.5;1.4;2.6;89.3;342.1;0;342.1;0.2;1027.5;1.7;-11.6
2024-01-08;05:00:00;0;0;0;-10.2;-6.8;1.4;2.6;89.9;344.2;0;344.2;0;1027.7;3.1;-11.6
2024-01-08;06:00:00;0;0;0;-10.3;-7.7;1.4;2.6;89;344.8;0;344.8;0;1028.4;3.6;-11.6
2024-01-08;07:00:00;0;0;0;-10.3;-6.7;1.4;2.6;89.2;333.2;0;333.2;0;1028.5;1.4;-11.6
2024-01-08;08:00:00;0;0;0.1;-10.9;-6.4;1.4;2.6;89.6;345.2;0;345.2;0;1028.8;1.4;-11.5
2024-01-08;09:00:00;0;0;68.3;-10.6;-6.5;1.4;2.6;90.7;341.2;0;341.2;0;1029.1;12.4;-11.5
2024-01-08;10:00:00;0;0;184.6;-9.9;-6.6;1.4;2.6;90.3;334.2;0;334.2;0;1030;39.6;-11.5
2024-01-08;11:00:00;0;0;242.4;-9.1;-6.5;1.4;2.5;89.4;302.8;0;302.8;0;1030.6;48.3;-11.5
2024-01-08;12:00:00;0;0;262.3;-8.1;-5.9;1.3;2.5;88.6;345;0;345;0;1030.5;49.3;-11.4
2024-01-08;13:00:00;0;0;259.1;-7;-5.8;1.3;2.5;87.2;305.7;0;305.7;0;1030.5;52.4;-11.4
2024-01-08;14:00:00;0;0;218.5;-6.4;-5.7;1.3;2.5;87.1;340.5;0;340.5;0;1030.2;47.6;-11.4
2024-01-08;15:00:00;0;0;102.1;-6.4;-6;1.3;2.5;87.1;334.8;0;334.8;0;1030.2;6.5;-11.3
2024-01-08;16:00:00;0;0;1;-7.6;-5.9;1.3;2.5;87.1;351.8;0;351.8;0;1030.3;-18.6;-11.3
2024-01-08;17:00:00;0;0;0;-9.4;-4.9;1.3;2.5;89.5;242;0;242;0;1030.1;-5.9;-11.2
2024-01-08;18:00:00;0;0;0.1;-9.6;-4.3;1.3;2.5;91.4;167.8;0;167.8;0;1030.1;-3.4;-11.2
2024-01-08;19:00:00;0;0;1.3;-9.1;-4.1;1.3;2.4;92.2;157.4;0;157.4;0;1030.3;5.5;-11.2
2024-01-08;20:00:00;0;0;0.6;-7.6;-3.8;1.3;2.4;92.4;224.3;0;224.3;0;1030.4;1.5;-11.2
2024-01-08;21:00:00;0;0;0.5;-6.8;-3.6;1.2;2.4;92.2;145.3;0;145.3;0;1030.4;-0.5;-11.1
2024-01-08;22:00:00;0;0;0;-7.2;-4.6;1.2;2.4;90.6;162.7;0;162.7;0;1030.1;-18;-11.1
2024-01-08;23:00:00;0;0;0;-8.7;-5.8;1.2;2.4;91.1;170.3;0;170.3;0;1030;-14.5;-11
2024-01-09;00:00:00;0;0;0;-8.7;-6.1;1.2;2.4;92.1;207.6;0;207.6;0;1029.9;-15.8;-11
2024-01-09;01:00:00;0;0;1.3;-8.4;-6.1;1.2;2.4;92.4;197;0;197;0;1029.6;2.6;-11
2024-01-09;02:00:00;0;0;0.1;-7.4;-6.6;1.2;2.4;91.7;204.2;0;204.2;0.1;1029.1;-7.2;-11
2024-01-09;03:00:00;0;0;0;-7.9;-7.1;1.2;2.4;91.1;210.1;0;210.1;0;1028.8;-5.7;-11
2024-01-09;04:00:00;0;0;0.2;-8;-7.1;1.2;2.3;91.2;191.7;0;191.7;0;1028.6;2.2;-10.9
2024-01-09;05:00:00;0;0;0.4;-7.5;-6.6;1.2;2.3;91.2;199.2;0;199.2;0.2;1028.2;8.6;-10.9
2024-01-09;06:00:00;0;0;0.6;-6.7;-5.9;1.2;2.3;91;203.9;0;203.9;0.6;1027.9;10.8;-10.8
2024-01-09;07:00:00;0;0;0.6;-5.7;-5.1;1.2;2.3;91.1;209.2;0;209.2;0.5;1027.6;9.8;-10.8
2024-01-09;08:00:00;0;0;2.2;-4.9;-4.4;1.2;2.3;92.1;207.4;0;207.4;0.8;1027.4;8.8;-10.8
2024-01-09;09:00:00;0;0;17.6;-3.6;-3.5;1.2;2.3;93.1;217.4;0;217.4;1.1;1027.4;4.2;-10.7
2024-01-09;10:00:00;0;0;58;-2.7;-2.7;1.2;2.3;93.3;219.2;0;219.2;1.2;1027.4;6.6;-10.6
2024-01-09;11:00:00;0;0;59;-2;-2;1.2;2.3;93.2;212.6;0;212.6;1.4;1027.4;10.5;-10.5
2024-01-09;12:00:00;0;0;46.5;-1.2;-1.3;1.2;2.3;93.3;206.7;0;206.7;0.3;1027;5.8;-10.5
2024-01-09;13:00:00;0.2;0;64.9;-0.6;-0.7;1.2;2.3;95.6;203.6;0;203.6;0.5;1026.6;9.1;-10.4
