"new.ID","water","bulk","pH","crop.height","air.temp.start","temp.mean"
"1","0.2  ±  0.0058","1.13  ±  0.0351",5.3,12,8.66,"8.29 ( 3.7 , 13.7 )"
"10","0.29  ±  0.046","1.17  ±  0.0416",5.27,21.5,6.22,"8.75 ( 2.1 , 18.2 )"
"11","0.17  ±  0.01","1.38  ±  0.0603",5.8,8,22.6,"17.9 ( 11.3 , 26.8 )"
"12","0.21  ±  0.01","1.31  ±  0.0153",6.98,22,15.5,"13.7 ( 11.8 , 16.2 )"
"2","0.24  ±  0.01","1.07  ±  0.0551",5.2,13,12.7,"9.22 ( 2.9 , 18.1 )"
"3","0.14  ±  0.02","1.06  ±  0.0896",5.6,8,17.6,"13 ( 5.4 , 21.2 )"
"4","0.22  ±  0.0058","1.33  ±  0.0872",5.73,10,14.5,"10.8 ( 5.6 , 17.7 )"
"5","0.24  ±  0.01","1.23  ±  0.04",5.57,7,8.39,"5.39 ( -2.4 , 10.7 )"
"6","0.25  ±  0.012","1.15  ±  0.0252",5.51,7.5,5.36,"5.43 ( 0.6 , 10.5 )"
"7","0.23  ±  0.0058","1.15  ±  0.0361",4.93,28,13.9,"12.8 ( 5.9 , 20.7 )"
"8","0.1  ±  0.021","1.2  ±  0.0208",5.62,37.5,16.4,"14.8 ( 8.9 , 20.4 )"
"9","0.26  ±  0.0058","1.31  ±  0.0513",5.58,6.5,3.56,"1.74 ( -3.2 , 5.8 )"
