"treat1","emmean","SE","df","lower.CL","upper.CL",".group","tabval"
"TH",0.214787500000001,0.0284916264948694,5.99228358652907,0.11486181630135,0.314713183698653,"  b","21.5 b"
"TS1",0.192637500000001,0.0284916264948694,5.99228358652907,0.09271181630135,0.292563183698652,"  b","19.3 b"
"TS2",0.20841228763995,0.0300760447408131,7.35532261950778,0.110037806163698,0.306786769116202,"  b","20.8 b"
"TS3",0.12733228763995,0.0300760447408131,7.35532261950778,0.0289578061636981,0.225706769116202," a ","12.7 a"
