"Trial_B","dig","Trial_A","straw","treat","acid","amount.mn","TS.mn","TS.sd","TS.n","VS.mn","VS.sd","VS.n","mm2.mn","mm2.sd","mm2.n","mm2TS.mn","mm2TS.sd","mm2TS.n","d01.mn","d01.sd","d01.n","d05.mn","d05.sd","d05.n","d09.mn","d09.sd","d09.n","ssa.mn","ssa.sd","ssa.n","swm.mn","swm.sd","swm.n","vwm.mn","vwm.sd","vwm.n","mm1.mn","mm1.sd","mm1.n","mm12.mn","mm12.sd","mm12.n","K.mn","K.sd","K.n","n.mn","n.sd","n.n","NH4.mn","NH4.sd","ammonium.N.A.n","totN.mn","totN.sd","totN.n","pH.lab.mn","pH.lab.sd","pH.lab.n","pH.field.mn","pH.field.sd","pH.field.n","app.rate.mn","app.rate.sd","new.ID","area.perc.mn","area.perc.sd","n.area.perc","TS","VS","ESA","mm2","mm2TS","d01","d05","d09","ssa","swm","vwm","mm1","mm12","K","n","NH4","totN","pH.lab","pH.field"
"D1","A","23H","+","","",35,5.608,0.04725,3,75.39,0.1864,3,0.955,0.03104,3,17.03,0.41,3,34.6,1.243,3,141.6,6.954,3,560.1,13.88,3,0.0856,0.003253,3,70.12,2.648,3,235.2,7.097,3,97.22,0.02828,3,2.765,0.03536,3,853,68.04,3,0.484,0.006,3,1.598,0.14,3,2.992,0.1725,3,7.68,0.1414,3,7.99,0.01414,3,55.93,4.9,"D1",16,3.1,3,"5.608  ±  0.04725","75.39  ±  0.1864","16  ±  3.1","0.955  ±  0.03104","17.03  ±  0.41","34.6  ±  1.243","141.6  ±  6.954","560.1  ±  13.88","0.0856  ±  0.003253","70.12  ±  2.648","235.2  ±  7.097","97.22  ±  0.02828","2.765  ±  0.03536","853  ±  68.04","0.484  ±  0.006","1.598  ±  0.14","2.992  ±  0.1725","7.68  ±  0.1414","7.99  ±  0.01414"
"D1","B","23H","++","","",23,9.291,0.0002724,3,74.37,0.1688,3,1.788,0.0942,3,19.25,1.013,3,14.06,0.4971,3,121.9,2.898,3,803.6,28.77,3,0.219,0.008485,3,27.37,1.063,3,283.5,4.842,3,93.98,0.5303,3,6.04,0.5233,3,5966,805.9,3,0.3963,0.02173,3,2.329,0.1768,3,4.755,0.05482,3,7.93,0.09899,3,8.36,0,3,53.57,4.066,"D1",13,1.5,3,"9.291  ±  0.0002724","74.37  ±  0.1688","13  ±  1.5","1.788  ±  0.0942","19.25  ±  1.013","14.06  ±  0.4971","121.9  ±  2.898","803.6  ±  28.77","0.219  ±  0.008485","27.37  ±  1.063","283.5  ±  4.842","93.98  ±  0.5303","6.04  ±  0.5233","5966  ±  805.9","0.3963  ±  0.02173","2.329  ±  0.1768","4.755  ±  0.05482","7.93  ±  0.09899","8.36  ±  0"
"D1","D","23H","no","","",20,5.907,0.03626,3,68.1,0.251,3,0.3262,0.03438,3,5.524,0.6159,3,16.77,0.05515,3,135.7,13.02,3,813.8,39.2,3,0.1585,0.002121,3,37.81,0.5409,3,296.9,16.74,3,93.99,0.7495,3,6.025,0.7142,3,617.2,17.18,3,0.5207,0.01801,3,2.58,0.03253,3,4.187,0.02175,3,7.825,0.03536,3,8.04,0,3,51.6,0.6505,"D1",11,2,3,"5.907  ±  0.03626","68.1  ±  0.251","11  ±  2","0.3262  ±  0.03438","5.524  ±  0.6159","16.77  ±  0.05515","135.7  ±  13.02","813.8  ±  39.2","0.1585  ±  0.002121","37.81  ±  0.5409","296.9  ±  16.74","93.99  ±  0.7495","6.025  ±  0.7142","617.2  ±  17.18","0.5207  ±  0.01801","2.58  ±  0.03253","4.187  ±  0.02175","7.825  ±  0.03536","8.04  ±  0"
"D1","E","23H","++","","",29,10.55,0.03098,3,71.67,0.02727,3,2.814,0.03592,3,26.68,0.4188,3,9.04,0.3041,3,74.72,11.01,3,727.8,3.726,3,0.3205,0.01344,3,18.71,0.787,3,232,6.951,3,94.83,0.198,3,5.2,0.1838,3,1491,230.9,3,0.3457,0.035,3,1.784,0.1103,3,4.476,0.8691,3,7.67,0.01414,3,8.075,0.02121,3,51.74,3.199,"D1",14,0.58,3,"10.55  ±  0.03098","71.67  ±  0.02727","14  ±  0.58","2.814  ±  0.03592","26.68  ±  0.4188","9.04  ±  0.3041","74.72  ±  11.01","727.8  ±  3.726","0.3205  ±  0.01344","18.71  ±  0.787","232  ±  6.951","94.83  ±  0.198","5.2  ±  0.1838","1491  ±  230.9","0.3457  ±  0.035","1.784  ±  0.1103","4.476  ±  0.8691","7.67  ±  0.01414","8.075  ±  0.02121"
"D1","F","23H","++","","",22,6.483,0.04836,3,75.24,0.2535,3,1.102,0.04037,3,17.01,0.7496,3,28.06,0.478,3,114.8,4.167,3,544.7,30.16,3,0.101,0,3,59.41,0.1846,3,212.9,9.062,3,97.42,0.2616,3,2.61,0.2687,3,1062,68.47,3,0.503,0.01997,3,2.502,0.2008,3,4.293,0.07344,3,7.765,0.007071,3,8.105,0.007071,3,55.04,4.418,"D1",14,1,3,"6.483  ±  0.04836","75.24  ±  0.2535","14  ±  1","1.102  ±  0.04037","17.01  ±  0.7496","28.06  ±  0.478","114.8  ±  4.167","544.7  ±  30.16","0.101  ±  0","59.41  ±  0.1846","212.9  ±  9.062","97.42  ±  0.2616","2.61  ±  0.2687","1062  ±  68.47","0.503  ±  0.01997","2.502  ±  0.2008","4.293  ±  0.07344","7.765  ±  0.007071","8.105  ±  0.007071"
"D2","A","23I","+","","",35,5.675,0.007714,3,76.06,0.008608,3,0.756,0.06299,3,13.32,1.092,3,28.56,1.867,3,132.8,8.924,3,572.5,15.4,3,0.1002,0.005374,3,60.1,3.02,3,230.1,1.384,3,97.38,0.4808,3,2.585,0.4596,3,931.2,89.07,3,0.482,0.026,3,1.372,0.128,3,3.028,0.2561,3,7.705,0.02121,3,NA,NA,3,48,4.48,"D2",18,1.5,3,"5.675  ±  0.007714","76.06  ±  0.008608","18  ±  1.5","0.756  ±  0.06299","13.32  ±  1.092","28.56  ±  1.867","132.8  ±  8.924","572.5  ±  15.4","0.1002  ±  0.005374","60.1  ±  3.02","230.1  ±  1.384","97.38  ±  0.4808","2.585  ±  0.4596","931.2  ±  89.07","0.482  ±  0.026","1.372  ±  0.128","3.028  ±  0.2561","7.705  ±  0.02121","NaN  ±  NA"
"D2","C","23I","no","","",22,4.516,0.002718,3,66.28,0.2729,3,0.2884,0.06992,3,6.388,1.552,3,20.13,2.092,3,216.1,8.814,3,926.8,11.34,3,0.1295,0.01485,3,46.6,5.151,3,361.8,6.99,3,91.87,0.2828,3,8.155,0.2899,3,180.5,13.69,3,0.612,0.02193,3,2.633,0.181,3,4.104,0.06769,3,7.955,0.02121,3,NA,NA,3,57.93,3.982,"D2",17,0.58,3,"4.516  ±  0.002718","66.28  ±  0.2729","17  ±  0.58","0.2884  ±  0.06992","6.388  ±  1.552","20.13  ±  2.092","216.1  ±  8.814","926.8  ±  11.34","0.1295  ±  0.01485","46.6  ±  5.151","361.8  ±  6.99","91.87  ±  0.2828","8.155  ±  0.2899","180.5  ±  13.69","0.612  ±  0.02193","2.633  ±  0.181","4.104  ±  0.06769","7.955  ±  0.02121","NaN  ±  NA"
"D2","G","23I","++","","",23,7.577,0.02433,3,72.53,0.1765,3,1.153,0.003879,3,15.21,0.1,3,14.23,1.397,3,76.89,4.794,3,656.6,25.38,3,0.1965,0.01909,3,30.7,3.039,3,215,7.673,3,95.93,0.4738,3,4.06,0.4525,3,551.5,436.9,3,0.4723,0.01185,3,2.274,0.1619,3,4.156,0.09793,3,7.635,0.03536,3,NA,NA,3,52.29,3.724,"D2",14,0.58,3,"7.577  ±  0.02433","72.53  ±  0.1765","14  ±  0.58","1.153  ±  0.003879","15.21  ±  0.1","14.23  ±  1.397","76.89  ±  4.794","656.6  ±  25.38","0.1965  ±  0.01909","30.7  ±  3.039","215  ±  7.673","95.93  ±  0.4738","4.06  ±  0.4525","551.5  ±  436.9","0.4723  ±  0.01185","2.274  ±  0.1619","4.156  ±  0.09793","7.635  ±  0.03536","NaN  ±  NA"
"D2","H","23I","++","","",23,8.733,0.2449,3,48.23,0.571,3,0.7294,0.04644,3,8.348,0.2976,3,18.17,0.9878,3,89.47,6.921,3,531.5,4.075,3,0.1485,0.01061,3,40.41,2.82,3,194,5.213,3,97.23,0.1273,3,2.78,0.1838,3,446.1,37.77,3,0.5787,0.04477,3,1.905,0.1485,3,3.624,0.2087,3,8.055,0.06364,3,NA,NA,3,43.82,3.415,"D2",13,2,3,"8.733  ±  0.2449","48.23  ±  0.571","13  ±  2","0.7294  ±  0.04644","8.348  ±  0.2976","18.17  ±  0.9878","89.47  ±  6.921","531.5  ±  4.075","0.1485  ±  0.01061","40.41  ±  2.82","194  ±  5.213","97.23  ±  0.1273","2.78  ±  0.1838","446.1  ±  37.77","0.5787  ±  0.04477","1.905  ±  0.1485","3.624  ±  0.2087","8.055  ±  0.06364","NaN  ±  NA"
"D2","I","23I","+","","",21,5.934,0.003211,3,69.32,0.07582,3,0.6625,0.1393,3,11.16,2.342,3,31.19,0.1061,3,118.5,3.69,3,577.6,58.31,3,0.0923,0.0005657,3,64.99,0.3677,3,223.4,15.4,3,96.92,0.7566,3,3.075,0.7283,3,370.1,41.8,3,0.5553,0.03842,3,2.537,0.07354,3,4.526,0.2869,3,7.72,0.1131,3,NA,NA,3,53.28,1.544,"D2",18,1.5,3,"5.934  ±  0.003211","69.32  ±  0.07582","18  ±  1.5","0.6625  ±  0.1393","11.16  ±  2.342","31.19  ±  0.1061","118.5  ±  3.69","577.6  ±  58.31","0.0923  ±  0.0005657","64.99  ±  0.3677","223.4  ±  15.4","96.92  ±  0.7566","3.075  ±  0.7283","370.1  ±  41.8","0.5553  ±  0.03842","2.537  ±  0.07354","4.526  ±  0.2869","7.72  ±  0.1131","NaN  ±  NA"
