"Trial_B","dig","Trial_A","straw","treat","acid","amount.mn","TS.mn","TS.sd","TS.n","VS.mn","VS.sd","VS.n","mm2.mn","mm2.sd","mm2.n","mm2TS.mn","mm2TS.sd","mm2TS.n","d01.mn","d01.sd","d01.n","d05.mn","d05.sd","d05.n","d09.mn","d09.sd","d09.n","ssa.mn","ssa.sd","ssa.n","swm.mn","swm.sd","swm.n","vwm.mn","vwm.sd","vwm.n","mm1.mn","mm1.sd","mm1.n","mm12.mn","mm12.sd","mm12.n","K.mn","K.sd","K.n","n.mn","n.sd","n.n","NH4.mn","NH4.sd","ammonium.N.A.n","totN.mn","totN.sd","totN.n","pH.lab.mn","pH.lab.sd","pH.lab.n","pH.field.mn","pH.field.sd","pH.field.n","app.rate.mn","app.rate.sd","new.ID","area.perc.mn","area.perc.sd","n.area.perc","TS","VS","ESA","mm2","mm2TS","d01","d05","d09","ssa","swm","vwm","mm1","mm12","K","n","NH4","totN","pH.lab","pH.field"
"D3","A","24E","+","","",35.3,2.83,0.01261,3,70.68,0.194,3,0.105,0.02121,3,3.75,0.7212,3,14.41,1.267,3,120,16.87,3,608.5,47.33,3,0.0951,0.008344,3,31.64,2.816,3,228.3,22.3,3,97.59,0.6647,3,2.365,0.6435,3,6.067,0.8217,3,1.118,0.03908,3,1.755,0.09334,3,1.986,0.03915,3,7.63,0.05657,3,8.11,0,3,61.95,3.295,"D3",63,5,3,"2.83  ±  0.01261","70.68  ±  0.194","63  ±  5","0.105  ±  0.02121","3.75  ±  0.7212","14.41  ±  1.267","120  ±  16.87","608.5  ±  47.33","0.0951  ±  0.008344","31.64  ±  2.816","228.3  ±  22.3","97.59  ±  0.6647","2.365  ±  0.6435","6.067  ±  0.8217","1.118  ±  0.03908","1.755  ±  0.09334","1.986  ±  0.03915","7.63  ±  0.05657","8.11  ±  0"
"D3","Cattle A","24E","","","",33.3,8.199,0.1271,3,83.08,0.3849,3,1.36,0.3253,3,16.59,4.031,3,15.46,0.7347,3,182.1,28.71,3,839.6,54.19,3,0.0963,0.005233,3,31.19,1.728,3,324.9,27.45,3,93.89,1.061,3,6.1,1.075,3,2576,68.71,3,0.4738,0.01055,3,1.852,0.006364,3,3.155,0.01612,3,7.015,0.06364,3,6.95,0,3,61.69,0.2119,"D3",25,5,3,"8.199  ±  0.1271","83.08  ±  0.3849","25  ±  5","1.36  ±  0.3253","16.59  ±  4.031","15.46  ±  0.7347","182.1  ±  28.71","839.6  ±  54.19","0.0963  ±  0.005233","31.19  ±  1.728","324.9  ±  27.45","93.89  ±  1.061","6.1  ±  1.075","2576  ±  68.71","0.4738  ±  0.01055","1.852  ±  0.006364","3.155  ±  0.01612","7.015  ±  0.06364","6.95  ±  0"
"D3","D","24E","no","","",20,4.744,0.01624,3,60.96,0.2249,3,0.05,0.01414,3,1.075,0.2475,3,12.95,0.07637,3,136.7,4.91,3,756.5,19.16,3,0.1095,0.0007071,3,27.33,0.239,3,280.3,7.789,3,95.28,0.4525,3,4.715,0.4738,3,54.49,1.591,3,0.7854,0.008609,3,3.23,0.04313,3,5.293,0.1506,3,7.855,0.007071,3,7.985,0.007071,3,64.61,0.8627,"D3",38,11,3,"4.744  ±  0.01624","60.96  ±  0.2249","38  ±  11","0.05  ±  0.01414","1.075  ±  0.2475","12.95  ±  0.07637","136.7  ±  4.91","756.5  ±  19.16","0.1095  ±  0.0007071","27.33  ±  0.239","280.3  ±  7.789","95.28  ±  0.4525","4.715  ±  0.4738","54.49  ±  1.591","0.7854  ±  0.008609","3.23  ±  0.04313","5.293  ±  0.1506","7.855  ±  0.007071","7.985  ±  0.007071"
"D3","H","24E","+","","",31.6,4.893,0.04875,3,63.17,0.3033,3,0.225,0.007071,3,4.58,0.09899,3,12.47,0.04243,3,94.21,2.333,3,589.1,14.02,3,0.112,0,3,26.79,0.0594,3,208.8,5.012,3,97.4,0.1626,3,2.61,0.1697,3,55.37,8.175,3,0.7652,0.02968,3,2.314,0.2065,3,3.34,0.03231,3,7.66,0.04243,3,7.955,0.007071,3,73.12,6.525,"D3",55,7.9,3,"4.893  ±  0.04875","63.17  ±  0.3033","55  ±  7.9","0.225  ±  0.007071","4.58  ±  0.09899","12.47  ±  0.04243","94.21  ±  2.333","589.1  ±  14.02","0.112  ±  0","26.79  ±  0.0594","208.8  ±  5.012","97.4  ±  0.1626","2.61  ±  0.1697","55.37  ±  8.175","0.7652  ±  0.02968","2.314  ±  0.2065","3.34  ±  0.03231","7.66  ±  0.04243","7.955  ±  0.007071"
"D3","Pig A","24E","","","",12.5,6.699,0.209,3,71.56,0.3772,3,0.265,0.02121,3,3.94,0.3536,3,6.492,0.2447,3,205.8,6.812,3,1065,0.2751,3,0.17,0.007071,3,17.66,0.6824,3,401.8,3.363,3,88.1,0.01414,3,11.88,0.02828,3,403.4,25.75,3,0.5395,0.02211,3,5.153,0.1966,3,7.122,0.04186,3,7.21,0.01414,3,7.23,0,3,64.41,2.457,"D3",26,2.1,3,"6.699  ±  0.209","71.56  ±  0.3772","26  ±  2.1","0.265  ±  0.02121","3.94  ±  0.3536","6.492  ±  0.2447","205.8  ±  6.812","1065  ±  0.2751","0.17  ±  0.007071","17.66  ±  0.6824","401.8  ±  3.363","88.1  ±  0.01414","11.88  ±  0.02828","403.4  ±  25.75","0.5395  ±  0.02211","5.153  ±  0.1966","7.122  ±  0.04186","7.21  ±  0.01414","7.23  ±  0"
"D4","A","24F","+","","",35.3,2.886,0.003113,3,70.27,0.2065,3,0.025,0.02121,3,0.785,0.6576,3,12.78,0.1669,3,66.45,1.76,3,433.1,16.82,3,0.1145,0.0007071,3,26.16,0.0891,3,155.2,2.724,3,98.44,0.1909,3,1.545,0.2192,3,16.61,0.5078,3,0.9665,0.02351,3,1.469,0.06505,3,2.09,0.02937,3,7.66,0,3,7.965,0.007071,3,51.86,2.296,"D4",46,11,3,"2.886  ±  0.003113","70.27  ±  0.2065","46  ±  11","0.025  ±  0.02121","0.785  ±  0.6576","12.78  ±  0.1669","66.45  ±  1.76","433.1  ±  16.82","0.1145  ±  0.0007071","26.16  ±  0.0891","155.2  ±  2.724","98.44  ±  0.1909","1.545  ±  0.2192","16.61  ±  0.5078","0.9665  ±  0.02351","1.469  ±  0.06505","2.09  ±  0.02937","7.66  ±  0","7.965  ±  0.007071"
"D4","C","24F","no","","",22.2,4.641,0.04588,3,68.29,0.2218,3,0.215,0.007071,3,4.655,0.06364,3,19.54,1.125,3,264.7,36.32,3,899,56.15,3,0.07245,0.004031,3,41.48,2.303,3,374.2,30.02,3,92.72,1.336,3,7.26,1.344,3,318,10.85,3,0.5241,0.01887,3,2.806,0.3246,3,3.751,0.1754,3,8.085,0.02121,3,8.135,0.007071,3,62.3,7.205,"D4",37,3.5,3,"4.641  ±  0.04588","68.29  ±  0.2218","37  ±  3.5","0.215  ±  0.007071","4.655  ±  0.06364","19.54  ±  1.125","264.7  ±  36.32","899  ±  56.15","0.07245  ±  0.004031","41.48  ±  2.303","374.2  ±  30.02","92.72  ±  1.336","7.26  ±  1.344","318  ±  10.85","0.5241  ±  0.01887","2.806  ±  0.3246","3.751  ±  0.1754","8.085  ±  0.02121","8.135  ±  0.007071"
"D4","Cattle B","24F","","","",26.1,10.4,0.08827,3,81.78,0.7067,3,1.725,0.3323,3,16.6,3.196,3,14.98,0.4886,3,126,18.5,3,772.6,64.78,3,0.1025,0.0007071,3,29.37,0.2567,3,281,27.41,3,94.96,1.181,3,5.05,1.16,3,10470,2276,3,0.5304,0.358,3,3.274,0.14,3,4.023,0.1176,3,7.415,0.2616,3,7.175,0.03536,3,85.45,3.654,"D4",11,1,3,"10.4  ±  0.08827","81.78  ±  0.7067","11  ±  1","1.725  ±  0.3323","16.6  ±  3.196","14.98  ±  0.4886","126  ±  18.5","772.6  ±  64.78","0.1025  ±  0.0007071","29.37  ±  0.2567","281  ±  27.41","94.96  ±  1.181","5.05  ±  1.16","10470  ±  2276","0.5304  ±  0.358","3.274  ±  0.14","4.023  ±  0.1176","7.415  ±  0.2616","7.175  ±  0.03536"
"D4","G","24F","+","","",20,4.062,0.002009,3,63.58,0.04512,3,-0.01,0,3,-0.21,0.07071,3,6.871,0.01697,3,33.39,0.8365,3,318.3,9.285,3,0.2115,0.0007071,3,14.17,0.02404,3,104.1,3.213,3,99.88,0.1344,3,0.11,0.1131,3,17.6,0.4366,3,0.9773,0.005882,3,2.648,0.03041,3,4.187,0.04657,3,7.78,0,3,7.795,0.007071,3,52.95,0.6081,"D4",40,2.9,3,"4.062  ±  0.002009","63.58  ±  0.04512","40  ±  2.9","-0.01  ±  0","-0.21  ±  0.07071","6.871  ±  0.01697","33.39  ±  0.8365","318.3  ±  9.285","0.2115  ±  0.0007071","14.17  ±  0.02404","104.1  ±  3.213","99.88  ±  0.1344","0.11  ±  0.1131","17.6  ±  0.4366","0.9773  ±  0.005882","2.648  ±  0.03041","4.187  ±  0.04657","7.78  ±  0","7.795  ±  0.007071"
"D4","Pig B","24F","","","",18.8,2.696,0.01115,3,66.11,0.1618,3,0.01,0,3,0.435,0.03536,3,4.174,0.03677,3,46.04,3.2,3,658.2,40.6,3,0.278,0.004243,3,10.8,0.1591,3,201.6,14.6,3,96.5,0.5445,3,3.49,0.5515,3,16.07,0.4554,3,0.9715,0.005828,3,2.918,0.01626,3,3.813,0.03302,3,6.98,0.01414,3,6.755,0.007071,3,54.85,0.3058,"D4",33,2.1,3,"2.696  ±  0.01115","66.11  ±  0.1618","33  ±  2.1","0.01  ±  0","0.435  ±  0.03536","4.174  ±  0.03677","46.04  ±  3.2","658.2  ±  40.6","0.278  ±  0.004243","10.8  ±  0.1591","201.6  ±  14.6","96.5  ±  0.5445","3.49  ±  0.5515","16.07  ±  0.4554","0.9715  ±  0.005828","2.918  ±  0.01626","3.813  ±  0.03302","6.98  ±  0.01414","6.755  ±  0.007071"
"D5","A","24G","+","","",35.3,2.425,0.007127,3,68.69,0.1131,3,0.015,0.007071,3,0.72,0.3677,3,11.52,0.5544,3,57.38,5.33,3,380.8,75.97,3,0.1275,0.006364,3,23.54,1.13,3,142.7,18.79,3,98.06,0.6647,3,1.93,0.6647,3,4.793,0.891,3,1.222,0.04476,3,1.61,0.05445,3,2.094,0.003464,3,7.53,0.01414,3,7.865,0.007071,3,56.82,1.922,"D5",39,4.5,3,"2.425  ±  0.007127","68.69  ±  0.1131","39  ±  4.5","0.015  ±  0.007071","0.72  ±  0.3677","11.52  ±  0.5544","57.38  ±  5.33","380.8  ±  75.97","0.1275  ±  0.006364","23.54  ±  1.13","142.7  ±  18.79","98.06  ±  0.6647","1.93  ±  0.6647","4.793  ±  0.891","1.222  ±  0.04476","1.61  ±  0.05445","2.094  ±  0.003464","7.53  ±  0.01414","7.865  ±  0.007071"
"D5","B","24G","++","","",15.3,7.723,0.1412,3,72.48,0.4504,3,0.695,0.007071,3,9.015,0.1344,3,10.26,0.3387,3,87.86,6.759,3,680.8,13.56,3,0.1465,0.00495,3,20.45,0.6583,3,230.6,1.271,3,96.05,0.5515,3,3.945,0.5303,3,3044,104.1,3,0.4417,0.01432,3,3.461,0.03677,3,5.478,0.07973,3,8.255,0.007071,3,8.52,0.01414,3,52.95,0.5626,"D5",16,1,3,"7.723  ±  0.1412","72.48  ±  0.4504","16  ±  1","0.695  ±  0.007071","9.015  ±  0.1344","10.26  ±  0.3387","87.86  ±  6.759","680.8  ±  13.56","0.1465  ±  0.00495","20.45  ±  0.6583","230.6  ±  1.271","96.05  ±  0.5515","3.945  ±  0.5303","3044  ±  104.1","0.4417  ±  0.01432","3.461  ±  0.03677","5.478  ±  0.07973","8.255  ±  0.007071","8.52  ±  0.01414"
"D5","Cattle C","24G","","","",30,7.867,0.1577,3,82.08,0.5275,3,1.38,0.3536,3,17.53,4.497,3,13.3,0.1909,3,124.3,11.24,3,754.5,52.85,3,0.114,0.001414,3,26.23,0.3231,3,273.4,21.46,3,95.24,0.9263,3,4.745,0.9122,3,3921,497.3,3,0.4297,0.01592,3,1.942,0.02899,3,3.212,0.1579,3,7.16,0.297,3,6.91,0.04243,3,58.24,0.8697,"D5",20,3.5,3,"7.867  ±  0.1577","82.08  ±  0.5275","20  ±  3.5","1.38  ±  0.3536","17.53  ±  4.497","13.3  ±  0.1909","124.3  ±  11.24","754.5  ±  52.85","0.114  ±  0.001414","26.23  ±  0.3231","273.4  ±  21.46","95.24  ±  0.9263","4.745  ±  0.9122","3921  ±  497.3","0.4297  ±  0.01592","1.942  ±  0.02899","3.212  ±  0.1579","7.16  ±  0.297","6.91  ±  0.04243"
"D5","E","24G","++","","",21.5,11.07,0.1488,3,75.31,0.113,3,3.525,0.5445,3,31.83,4.921,3,9.901,0.2539,3,66.43,0.5438,3,560.3,59.2,3,0.1495,0.003536,3,20.04,0.4525,3,185.2,15.37,3,97.63,1.004,3,2.34,0.9899,3,6475,805.5,3,0.1479,0.02633,3,2.304,0.157,3,4.751,0.4331,3,7.71,0,3,8.02,0.02828,3,49.54,3.375,"D5",18,1.5,3,"11.07  ±  0.1488","75.31  ±  0.113","18  ±  1.5","3.525  ±  0.5445","31.83  ±  4.921","9.901  ±  0.2539","66.43  ±  0.5438","560.3  ±  59.2","0.1495  ±  0.003536","20.04  ±  0.4525","185.2  ±  15.37","97.63  ±  1.004","2.34  ±  0.9899","6475  ±  805.5","0.1479  ±  0.02633","2.304  ±  0.157","4.751  ±  0.4331","7.71  ±  0","8.02  ±  0.02828"
"D5","Pig C","24G","","","",23.1,3.568,0.01635,3,71.59,0.01349,3,0.03,0.01414,3,0.725,0.3606,3,7.295,0.09051,3,74.75,11.44,3,747.1,55.48,3,0.175,0.001414,3,17.17,0.1315,3,250.5,23.06,3,95.42,0.9122,3,4.57,0.8768,3,17.18,0.2051,3,0.965,0.005303,3,2.23,0.2623,3,2.959,0.2898,3,6.155,0.007071,3,5.995,0.007071,3,51.5,6.06,"D5",27,2,3,"3.568  ±  0.01635","71.59  ±  0.01349","27  ±  2","0.03  ±  0.01414","0.725  ±  0.3606","7.295  ±  0.09051","74.75  ±  11.44","747.1  ±  55.48","0.175  ±  0.001414","17.17  ±  0.1315","250.5  ±  23.06","95.42  ±  0.9122","4.57  ±  0.8768","17.18  ±  0.2051","0.965  ±  0.005303","2.23  ±  0.2623","2.959  ±  0.2898","6.155  ±  0.007071","5.995  ±  0.007071"
