"Trial_B","dig","area.perc.mn","area.perc.sd","n.area.perc"
"D1","B",13,1.5,3
"D1","A",16,3.1,3
"D1","E",14,0.58,3
"D1","F",14,1,3
"D1","D",11,2,3
"D2","H",13,2,3
"D2","I",18,1.5,3
"D2","G",14,0.58,3
"D2","A",18,1.5,3
"D2","C",17,0.58,3
"D3","H",55,7.9,3
"D3","Cattle A",25,5,3
"D3","D",38,11,3
"D3","Pig A",26,2.1,3
"D3","A",63,5,3
"D4","A",46,11,3
"D4","G",40,2.9,3
"D4","C",37,3.5,3
"D4","Pig B",33,2.1,3
"D4","Cattle B",11,1,3
"D5","A",39,4.5,3
"D5","E",18,1.5,3
"D5","B",16,1,3
"D5","Cattle C",20,3.5,3
"D5","Pig C",27,2,3
