"new.ID","water","bulk","pH","crop.height","air.temp.start","temp.mean"
"1","0.13  ±  0.026","1.17  ±  0.105",5.4,10,10.8,"12.8 ( 4.1 , 22.1 )"
"2","0.19  ±  0.01","1.03  ±  0.1",5.2,9,17.1,"11.6 ( 5.9 , 20.5 )"
"3","0.28  ±  0.015","1.18  ±  0.0608",5.49,8.5,2.6,"9.4 ( 1.1 , 16.3 )"
"4","0.29  ±  0","1.15  ±  0.172",5.59,9.5,9.62,"8.38 ( 1.9 , 14.7 )"
"5","0.22  ±  0.012","1.11  ±  0.101",5.65,14,10.6,"4.21 ( -1.7 , 10.8 )"
