"new.ID","dig","straw","treat","mm2","mm2TS","ssa","swm","vwm","mm1","mm12","K","n","ESA"
"D1","A","+","","0.955  ±  0.03104","17.03  ±  0.41","0.0856  ±  0.003253","70.12  ±  2.648","235.2  ±  7.097","97.22  ±  0.02828","2.765  ±  0.03536","853  ±  68.04","0.484  ±  0.006","16  ±  3.1"
"D1","B","++","","1.788  ±  0.0942","19.25  ±  1.013","0.219  ±  0.008485","27.37  ±  1.063","283.5  ±  4.842","93.98  ±  0.5303","6.04  ±  0.5233","5966  ±  805.9","0.3963  ±  0.02173","13  ±  1.5"
"D1","D","no","","0.3262  ±  0.03438","5.524  ±  0.6159","0.1585  ±  0.002121","37.81  ±  0.5409","296.9  ±  16.74","93.99  ±  0.7495","6.025  ±  0.7142","617.2  ±  17.18","0.5207  ±  0.01801","11  ±  2"
"D1","E","++","","2.814  ±  0.03592","26.68  ±  0.4188","0.3205  ±  0.01344","18.71  ±  0.787","232  ±  6.951","94.83  ±  0.198","5.2  ±  0.1838","1491  ±  230.9","0.3457  ±  0.035","14  ±  0.58"
"D1","F","++","","1.102  ±  0.04037","17.01  ±  0.7496","0.101  ±  0","59.41  ±  0.1846","212.9  ±  9.062","97.42  ±  0.2616","2.61  ±  0.2687","1062  ±  68.47","0.503  ±  0.01997","14  ±  1"
"D2","A","+","","0.756  ±  0.06299","13.32  ±  1.092","0.1002  ±  0.005374","60.1  ±  3.02","230.1  ±  1.384","97.38  ±  0.4808","2.585  ±  0.4596","931.2  ±  89.07","0.482  ±  0.026","18  ±  1.5"
"D2","C","no","","0.2884  ±  0.06992","6.388  ±  1.552","0.1295  ±  0.01485","46.6  ±  5.151","361.8  ±  6.99","91.87  ±  0.2828","8.155  ±  0.2899","180.5  ±  13.69","0.612  ±  0.02193","17  ±  0.58"
"D2","G","++","","1.153  ±  0.003879","15.21  ±  0.1","0.1965  ±  0.01909","30.7  ±  3.039","215  ±  7.673","95.93  ±  0.4738","4.06  ±  0.4525","551.5  ±  436.9","0.4723  ±  0.01185","14  ±  0.58"
"D2","H","++","","0.7294  ±  0.04644","8.348  ±  0.2976","0.1485  ±  0.01061","40.41  ±  2.82","194  ±  5.213","97.23  ±  0.1273","2.78  ±  0.1838","446.1  ±  37.77","0.5787  ±  0.04477","13  ±  2"
"D2","I","+","","0.6625  ±  0.1393","11.16  ±  2.342","0.0923  ±  0.0005657","64.99  ±  0.3677","223.4  ±  15.4","96.92  ±  0.7566","3.075  ±  0.7283","370.1  ±  41.8","0.5553  ±  0.03842","18  ±  1.5"
"D3","A","+","","0.105  ±  0.02121","3.75  ±  0.7212","0.0951  ±  0.008344","31.64  ±  2.816","228.3  ±  22.3","97.59  ±  0.6647","2.365  ±  0.6435","6.067  ±  0.8217","1.118  ±  0.03908","63  ±  5"
"D3","Cattle A","","","1.36  ±  0.3253","16.59  ±  4.031","0.0963  ±  0.005233","31.19  ±  1.728","324.9  ±  27.45","93.89  ±  1.061","6.1  ±  1.075","2576  ±  68.71","0.4738  ±  0.01055","25  ±  5"
"D3","D","no","","0.05  ±  0.01414","1.075  ±  0.2475","0.1095  ±  0.0007071","27.33  ±  0.239","280.3  ±  7.789","95.28  ±  0.4525","4.715  ±  0.4738","54.49  ±  1.591","0.7854  ±  0.008609","38  ±  11"
"D3","H","+","","0.225  ±  0.007071","4.58  ±  0.09899","0.112  ±  0","26.79  ±  0.0594","208.8  ±  5.012","97.4  ±  0.1626","2.61  ±  0.1697","55.37  ±  8.175","0.7652  ±  0.02968","55  ±  7.9"
"D3","Pig A","","","0.265  ±  0.02121","3.94  ±  0.3536","0.17  ±  0.007071","17.66  ±  0.6824","401.8  ±  3.363","88.1  ±  0.01414","11.88  ±  0.02828","403.4  ±  25.75","0.5395  ±  0.02211","26  ±  2.1"
"D4","A","+","","0.025  ±  0.02121","0.785  ±  0.6576","0.1145  ±  0.0007071","26.16  ±  0.0891","155.2  ±  2.724","98.44  ±  0.1909","1.545  ±  0.2192","16.61  ±  0.5078","0.9665  ±  0.02351","46  ±  11"
"D4","C","no","","0.215  ±  0.007071","4.655  ±  0.06364","0.07245  ±  0.004031","41.48  ±  2.303","374.2  ±  30.02","92.72  ±  1.336","7.26  ±  1.344","318  ±  10.85","0.5241  ±  0.01887","37  ±  3.5"
"D4","Cattle B","","","1.725  ±  0.3323","16.6  ±  3.196","0.1025  ±  0.0007071","29.37  ±  0.2567","281  ±  27.41","94.96  ±  1.181","5.05  ±  1.16","10470  ±  2276","0.5304  ±  0.358","11  ±  1"
"D4","G","+","","-0.01  ±  0","-0.21  ±  0.07071","0.2115  ±  0.0007071","14.17  ±  0.02404","104.1  ±  3.213","99.88  ±  0.1344","0.11  ±  0.1131","17.6  ±  0.4366","0.9773  ±  0.005882","40  ±  2.9"
"D4","Pig B","","","0.01  ±  0","0.435  ±  0.03536","0.278  ±  0.004243","10.8  ±  0.1591","201.6  ±  14.6","96.5  ±  0.5445","3.49  ±  0.5515","16.07  ±  0.4554","0.9715  ±  0.005828","33  ±  2.1"
"D5","A","+","","0.015  ±  0.007071","0.72  ±  0.3677","0.1275  ±  0.006364","23.54  ±  1.13","142.7  ±  18.79","98.06  ±  0.6647","1.93  ±  0.6647","4.793  ±  0.891","1.222  ±  0.04476","39  ±  4.5"
"D5","B","++","","0.695  ±  0.007071","9.015  ±  0.1344","0.1465  ±  0.00495","20.45  ±  0.6583","230.6  ±  1.271","96.05  ±  0.5515","3.945  ±  0.5303","3044  ±  104.1","0.4417  ±  0.01432","16  ±  1"
"D5","Cattle C","","","1.38  ±  0.3536","17.53  ±  4.497","0.114  ±  0.001414","26.23  ±  0.3231","273.4  ±  21.46","95.24  ±  0.9263","4.745  ±  0.9122","3921  ±  497.3","0.4297  ±  0.01592","20  ±  3.5"
"D5","E","++","","3.525  ±  0.5445","31.83  ±  4.921","0.1495  ±  0.003536","20.04  ±  0.4525","185.2  ±  15.37","97.63  ±  1.004","2.34  ±  0.9899","6475  ±  805.5","0.1479  ±  0.02633","18  ±  1.5"
"D5","Pig C","","","0.03  ±  0.01414","0.725  ±  0.3606","0.175  ±  0.001414","17.17  ±  0.1315","250.5  ±  23.06","95.42  ±  0.9122","4.57  ±  0.8768","17.18  ±  0.2051","0.965  ±  0.005303","27  ±  2"
