"experiment","code","cat","sep","amount.mn","app.rate.mn","TS","VS","ESA","mm2","mm2TS","density.mn","K.mn","n.mn","r2.mn","NH4","totN","pH.lab","pH.field"
"23C","A","Medium straw","",35,55,"5.56  ±  0.00841","76.62  ±  0.1407","NA  ±  NA","0.66  ±  0.136","11.9  ±  2.42",1.02,180.1,-0.427,0.995,"1.6  ±  0.0071","2.7  ±  0.26","7.9  ±  0.021","8.3  ±  0.0071"
"23C","A dis","Medium straw","",35,51,"5.33  ±  0.00205","77.51  ±  0.1358","NA  ±  NA","0.314  ±  0.0661","5.89  ±  1.24",1.02,101.4,-0.365,0.972,"1.5  ±  0.0064","3.1  ±  0.043","7.8  ±  0.049","8.1  ±  0.11"
"23C","A dis acid","Medium straw","",35,56,"5.46  ±  0.00921","76.73  ±  0.05897","NA  ±  NA","0.319  ±  0.0299","5.84  ±  0.537",1.02,93.39,-0.347,0.961,"1.6  ±  0.03","2.8  ±  0.74","7.4  ±  0.0071","6.5  ±  0.028"
"23C","A sep","Medium straw","Decanter",35,52,"3.19  ±  0.00123","66.59  ±  0.07828","NA  ±  NA","0  ±  0","0  ±  0",1.01,29.82,-0.13,0.841,"1.5  ±  0.12","2.9  ±  0.7","7.8  ±  0.0071","NA  ±  NA"
"23C","A sep acid","Medium straw","Decanter",35,54,"3.29  ±  0.000655","64.93  ±  0.004499","NA  ±  NA","0  ±  0","0  ±  0",1.01,29.12,-0.135,0.823,"1.5  ±  0.0078","2.6  ±  0.15","7.8  ±  0.21","6.5  ±  0.12"
"23D","A","Medium straw","",32,47,"5.44  ±  0.0505","76.14  ±  0.03682","NA  ±  NA","0.49  ±  0.0275","9.02  ±  0.589",1.02,154.8,-0.405,0.993,"1.5  ±  0.26","3  ±  0.38","8  ±  0.014","8.4  ±  0.0071"
"23D","A acid","Medium straw","",32,57,"5.6  ±  0.056","75.3  ±  0.1252","NA  ±  NA","0.419  ±  0.0601","7.49  ±  1.15",1.02,159.2,-0.449,0.993,"1.8  ±  0.32","3.7  ±  0.24","7.6  ±  0.071","7.3  ±  0.035"
"23D","B","High straw","",23,58,"9.18  ±  0.041","74.48  ±  0.05969","NA  ±  NA","1.82  ±  0.0623","19.8  ±  0.767",1.03,7019,-0.627,0.996,"2.5  ±  0.088","4.9  ±  0.25","7.8  ±  0.021","8.1  ±  0"
"23D","B acid","High straw","",23,53,"9.3  ±  0.0696","74.33  ±  0.1924","NA  ±  NA","1.57  ±  0.0744","16.9  ±  0.674",1.02,6469,-0.625,0.998,"2.3  ±  0.13","5.6  ±  0.18","7.5  ±  0.0071","7.7  ±  0.014"
"23D","B sep","High straw","Screw press",NA,NA,"NA  ±  NA","NA  ±  NA","NA  ±  NA","NA  ±  NA","NA  ±  NA",NA,NA,NA,NA,"NA  ±  NA","NA  ±  NA","NA  ±  NA","7.9  ±  0.0071"
"23D","B sep acid","High straw","Screw press",20,51,"7.33  ±  0.00165","68.91  ±  0.09427","NA  ±  NA","0.0159  ±  0.00146","0.217  ±  0.02",1.01,1477,-0.465,1,"2.6  ±  0.052","5.2  ±  0.031","7.7  ±  0.021","7.5  ±  0.0071"
"23G","A","Medium straw","",38,45,"5.53  ±  0.00831","75.73  ±  0.05791","18  ±  1.5","0.791  ±  0.0495","14.3  ±  0.916",1.02,872.5,-0.472,0.997,"1.2  ±  0.29","3.4  ±  0.17","8  ±  0.42","7.9  ±  0.014"
"23G","B","High straw","",23,48,"9.24  ±  0.019","74.23  ±  0.02112","11  ±  1.9","1.7  ±  0.0652","18.4  ±  0.744",1.03,6050,-0.591,0.996,"2.1  ±  0.29","4.4  ±  0.079","7.8  ±  0.028","8.1  ±  0.0071"
