"new.ID","treat1","e.rel.150","e.rel.8"
"D1","F",0.493,0.18
"D1","E",0.519,0.166
"D1","A",0.366,0.116
"D1","B",0.531,0.146
"D1","D",0.414,0.17
"D2","C",0.352,0.146
"D2","A",0.411,0.169
"D2","G",0.471,0.217
"D2","I",0.432,0.178
"D2","H",0.494,0.214
"D3","Cattle A",0.208,0.0348
"D3","D",0.34,0.0815
"D3","H",0.334,0.0691
"D3","Pig A",0.243,0.0481
"D3","A",0.273,0.068
"D4","A",0.374,0.142
"D4","G",0.375,0.145
"D4","Cattle B",0.235,0.0596
"D4","C",0.493,0.195
"D4","Pig B",0.0521,0.0119
"D5","E",0.378,0.168
"D5","B",0.429,0.161
"D5","A",0.31,0.14
"D5","Cattle C",0.319,0.11
"D5","Pig C",0.0532,0.00863
