"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
2281,2285,60651,5,1,2023-04-12 14:45:00,2023-04-12 17:16:00,"1681310700","1681310700",2.5167,2.5167,3.5527e-15,2.5167,1.2583,2.5167,0,NA,0.033981,"ppm",NA,NA,NA,NA,NA,0.92785,0.016994,2.3351,2.3351,0.042767,9.2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,".",""
2281,2285,60652,6,2,2023-04-12 17:16:00,2023-04-12 19:48:00,"1681319760","1681319760",2.5333,2.5333,-3.1086e-15,5.05,3.7833,5.05,2.5167,NA,0.027547,"ppm",NA,NA,NA,NA,NA,0.666,0.012198,1.6872,4.0223,0.073668,7.2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60653,7,3,2023-04-12 19:48:00,2023-04-12 22:20:00,"1681328880","1681328880",2.5333,2.5333,-3.1086e-15,7.5833,6.3167,7.5833,5.05,NA,0.026317,"ppm",NA,NA,NA,NA,NA,0.50142,0.0091835,1.2703,5.2925,0.096933,6.1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60654,8,4,2023-04-12 22:20:00,2023-04-13 00:52:00,"1681338000","1681338000",2.5333,2.5333,-3.1086e-15,10.117,8.85,10.117,7.5833,NA,0.026222,"ppm",NA,NA,NA,NA,NA,0.3823,0.0070017,0.96848,6.261,0.11467,5.9,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60655,9,5,2023-04-13 00:52:00,2023-04-13 03:24:00,"1681347120","1681347120",2.5333,2.5333,-3.1086e-15,12.65,11.383,12.65,10.117,NA,0.025878,"ppm",NA,NA,NA,NA,NA,0.3194,0.0058499,0.80916,7.0702,0.12949,6,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60656,10,6,2023-04-13 03:24:00,2023-04-13 05:56:00,"1681356240","1681356240",2.5333,2.5333,-3.1086e-15,15.183,13.917,15.183,12.65,NA,0.024452,"ppm",NA,NA,NA,NA,NA,0.26873,0.0049218,0.68079,7.751,0.14196,6.1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60657,11,7,2023-04-13 05:56:00,2023-04-13 08:28:00,"1681365360","1681365360",2.5333,2.5333,-3.1086e-15,17.717,16.45,17.717,15.183,NA,0.027002,"ppm",NA,NA,NA,NA,NA,0.21856,0.004003,0.55369,8.3047,0.1521,4.3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60658,12,8,2023-04-13 08:28:00,2023-04-13 11:00:00,"1681374480","1681374480",2.5333,2.5333,-3.1086e-15,20.25,18.983,20.25,17.717,NA,0.035512,"ppm",NA,NA,NA,NA,NA,0.25369,0.0046463,0.64268,8.9473,0.16387,6.8,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60659,13,9,2023-04-13 11:00:00,2023-04-13 13:32:00,"1681383600","1681383600",2.5333,2.5333,-3.1086e-15,22.783,21.517,22.783,20.25,NA,0.035628,"ppm",NA,NA,NA,NA,NA,0.2339,0.0042839,0.59254,9.5399,0.17472,10.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60660,14,10,2023-04-13 13:32:00,2023-04-13 16:04:00,"1681392720","1681392720",2.5333,2.5333,-3.1086e-15,25.317,24.05,25.317,22.783,NA,0.030842,"ppm",NA,NA,NA,NA,NA,0.17975,0.0032921,0.45536,9.9952,0.18306,7.8,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60661,15,11,2023-04-13 16:04:00,2023-04-13 18:36:00,"1681401840","1681401840",2.5333,2.5333,-3.1086e-15,27.85,26.583,27.85,25.317,NA,0.026974,"ppm",NA,NA,NA,NA,NA,0.21723,0.0039786,0.55031,10.546,0.19314,7.9,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60662,16,12,2023-04-13 18:36:00,2023-04-13 21:08:00,"1681410960","1681410960",2.5333,2.5333,-3.1086e-15,30.383,29.117,30.383,27.85,NA,0.021925,"ppm",NA,NA,NA,NA,NA,0.11449,0.0020968,0.29003,10.836,0.19845,6.9,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60663,17,13,2023-04-13 21:08:00,2023-04-13 23:40:00,"1681420080","1681420080",2.5333,2.5333,-3.1086e-15,32.917,31.65,32.917,30.383,NA,0.020865,"ppm",NA,NA,NA,NA,NA,0.085345,0.0015631,0.21621,11.052,0.20241,5.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60664,18,14,2023-04-13 23:40:00,2023-04-14 02:11:00,"1681429200","1681429200",2.5167,2.5167,3.5527e-15,35.433,34.175,35.433,32.917,NA,0.019797,"ppm",NA,NA,NA,NA,NA,0.082774,0.001516,0.20831,11.26,0.20623,4.7,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60665,19,15,2023-04-14 02:11:00,2023-04-14 04:43:00,"1681438260","1681438260",2.5333,2.5333,-3.1086e-15,37.967,36.7,37.967,35.433,NA,0.01933,"ppm",NA,NA,NA,NA,NA,0.079367,0.0014536,0.20106,11.461,0.20991,4.5,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60666,20,16,2023-04-14 04:43:00,2023-04-14 07:15:00,"1681447380","1681447380",2.5333,2.5333,-3.1086e-15,40.5,39.233,40.5,37.967,NA,0.020115,"ppm",NA,NA,NA,NA,NA,0.072275,0.0013237,0.1831,11.644,0.21326,3.9,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60667,21,17,2023-04-14 07:15:00,2023-04-14 09:47:00,"1681456500","1681456500",2.5333,2.5333,-3.1086e-15,43.033,41.767,43.033,40.5,NA,0.029762,"ppm",NA,NA,NA,NA,NA,0.11879,0.0021757,0.30095,11.945,0.21878,4.7,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
2281,2285,60668,22,18,2023-04-14 09:47:00,2023-04-14 12:19:00,"1681465620","1681465620",2.5333,2.5333,-3.1086e-15,45.567,44.3,45.567,43.033,NA,0.033275,"ppm",NA,NA,NA,NA,NA,0.10237,0.0018749,0.25933,12.205,0.22353,9.7,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,0,0,0,NA,NA,""
