Experiment name or code;Treatment name or code;VS (%);>2mm(%);>2mm(%TS);d (0.1) (µm);d (0.5) (µm);d (0.9) (µm);Specific surface area (m2/g);Surface weighted mean (µm);Volume weighted mean (µm);%V < 1 mm;1 mm < %V < 2 mm;viscosity K;viscosity n
Experiment name or code;Treatment name or code;VS;mm2;mm2TS;d01;d05;d09;ssa;swm;vwm;mm1;mm12;K;n
23C;A;76.51874192;0.563836682;10.15027491;37.688;162.569;698.12;0.0789;75.998;280.805;95.69;4.29;193.37;0.546
23C;A;76.71765621;0.755806654;13.57708578;37.246;142.659;568.182;0.0811;74.026;237.856;97.28;2.73;171.04;0.586
23C;A;;;;;;;;;;;;175.57;0.588
23C;A dec;66.64116297;0;0;5.731;26.356;258.546;0.264;11.353;83.748;99.97;0.06;31.126;0.863
23C;A dec;66.53046062;0;0;;;;;;;;;29.643;0.871
23C;A dec;;;;;;;;;;;;28.694;0.876
23C;A dec acid;64.92815327;0;0;5.739;25.252;264.602;0.266;11.273;82.759;100;0;27.708;0.88
23C;A dec acid;64.93451627;0;0;;;;;;;;;30.281;0.852
23C;A dec acid;;;;;;;;;;;;29.415;0.863
23C;A dis;77.60501909;0.267049533;5.011877249;38.881;163.503;726.397;0.0762;78.752;287.88;95.18;4.85;102.82;0.632
23C;A dis;77.41303283;0.360549346;6.770325313;33.747;140.435;653.443;0.0874;68.683;255.891;95.93;4.04;100.37;0.639
23C;A dis;;;;;;;;;;;;101.04;0.633
23C;A dis acid;76.76767677;0.339795516;6.215494054;34.817;152.868;737.944;0.0844;71.132;283.441;94.94;5.09;93.077;0.646
23C;A dis acid;76.68428005;0.297529603;5.455364446;36.606;154.367;693.123;0.082;73.198;274.187;95.61;4.34;91.295;0.656
23C;A dis acid;;;;;;;;;;;;95.78;0.656
23D;A;76.11481292;0.509927308;9.436530241;30.278;120.161;500.704;0.0978;61.321;204.563;98.23;1.73;158.84;0.569
23D;A;76.16688396;0.471063257;8.603690946;31.838;125.697;593.019;0.0928;64.633;231.59;96.84;3.17;157.38;0.602
23D;A;;;;;;;;;;;;147.84;0.613
23D;A acid;75.21037071;0.461249014;8.302377347;27.099;116.971;670.471;0.104;57.418;241.423;95.73;4.3;157.89;0.544
23D;A acid;75.38742024;0.376306243;6.678149441;27.251;125.407;711.821;0.103;58.209;256.802;95.27;4.65;149.15;0.58
23D;A acid;;;;;;;;;;;;170.23;0.533
23D;B;74.43499392;1.773085302;19.25445682;13.89;127.576;797.266;0.227;26.375;284.893;94.24;5.79;8132.1;0.373
23D;B;74.51940515;1.861200862;20.33954326;14.577;135.459;754.44;0.216;27.822;277.869;94.95;5.06;6632.5;0.365
23D;B;;;;;;;;;;;;6099.2;0.411
23D;B acid;74.4632339;1.623080698;17.36230671;14.134;102.74;521.687;0.228;26.265;192.983;99.6;0.39;6358.6;0.398
23D;B acid;74.19119436;1.517812759;16.40906598;13.88;144.107;830.828;0.223;26.94;304.328;93.69;6.3;6225.1;0.41
23D;B acid;;;;;;;;;;;;6427.6;0.364
23D;B screw acid;68.84526559;0.014886269;0.202955196;10.957;91.448;597.814;0.282;21.257;210.147;97.02;2.98;1603.3;0.528
23D;B screw acid;68.97859054;0.016956337;0.231251316;11.65;91.995;643.772;0.27;22.208;222.01;96.25;3.77;1565.8;0.503
23D;B screw acid;;;;;;;;;;;;1262.1;0.567
23G;C;66.05733278;0.160284951;3.670405514;33.289;330.356;1107.924;0.0826;72.595;462.037;86.93;13.05;148.66;0.576
23G;C;65.97591215;0.146450724;3.402061204;32.958;319.738;1092.85;0.0842;71.225;453.901;87.44;12.55;147.52;0.596
23G;C;;;;;;;;;;;;150.45;0.571
23G;C dec;58.63612428;0;0;6.083;23.339;65.61;0.566;10.596;32.684;99.99;0;38.355;0.781
23G;C dec;58.49559883;0;0;;;;;;;;;41.028;0.763
23G;C dec;;;;;;;;;;;;41.796;0.758
23G;A;75.68902756;0.825637576;14.95421568;48.265;199.168;718.449;0.0649;92.47;306.89;95.59;4.4;983.3;0.502
23G;A;75.77092511;0.755684058;13.65811351;51.786;195.559;769.247;0.0585;102.576;318.458;94.69;5.3;797.12;0.562
23G;A;;;;;;;;;;;;825.95;0.53
23G;B;74.24536628;1.744186047;18.912334;18.669;126.713;667.209;0.167;35.939;251.37;96.69;3.29;6075.9;0.385
23G;B;74.21550095;1.651948052;17.86019198;17.397;159.259;857.366;0.177;33.804;319.839;93.22;6.77;6045.3;0.43
23G;B;;;;;;;;;;;;5994.6;0.415
23G;C dec;68.47382733;-0.003923723;-0.055879708;11.359;89.025;650.792;0.275;21.8;223.47;96.09;3.9;1379.4;0.553
23G;C dec;68.5687904;-0.009662022;-0.137223915;12.85;84.973;556.272;0.249;24.06;198.015;97.37;2.67;1385;0.524
23G;C dec;;;;;;;;;;;;1383.9;0.507
23H;A;75.26304488;0.933042171;16.73725788;35.483;146.52;569.89;0.0833;71.99;240.245;97.24;2.74;926.3;0.484
23H;A;75.52666965;0.976933514;17.31703327;33.725;136.685;550.259;0.0879;68.245;230.209;97.2;2.79;840.89;0.49
23H;A;;;;;;;;;;;;791.84;0.478
23H;B ;74.49025827;1.854864953;19.96396107;13.705;123.951;783.222;0.225;26.619;280.043;94.35;5.67;6715.5;0.388
23H;B;74.25149701;1.721640525;18.5308314;14.408;119.853;823.91;0.213;28.122;286.891;93.6;6.41;5113.6;0.421
23H;B;;;;;;;;;;;;6068.5;0.38
23H;F;75.06476684;1.130869025;17.53725903;27.718;117.698;566.057;0.101;59.281;219.285;97.23;2.8;1013.4;0.525
23H;F;75.4233302;1.07378389;16.47722895;28.394;111.805;523.407;0.101;59.542;206.469;97.6;2.42;1140;0.498
23H;F;;;;;;;;;;;;1031.5;0.486
23H;E;71.64909639;2.839756592;26.97287629;9.255;82.498;725.204;0.311;19.267;236.96;94.97;5.07;1546.2;0.345
23H;E;71.68765743;2.788964583;26.38065441;8.825;66.934;730.474;0.33;18.154;227.13;94.69;5.33;1688.8;0.311
23H;E;;;;;;;;;;;;1237.1;0.381
23H;D;68.28176688;0.350504274;5.959663932;16.807;126.448;786.084;0.16;37.424;285.021;94.52;5.52;613.66;0.539
23H;D;67.92678074;0.301884811;5.088615067;16.729;144.868;841.516;0.157;38.189;308.688;93.46;6.53;602.1;0.52
23H;D;;;;;;;;;;;;635.91;0.503
23I;I;69.37842779;0.563948829;9.507486498;31.117;121.121;618.848;0.0919;65.253;234.335;96.38;3.59;359.21;0.579
23I;I;69.27120669;0.760992973;12.81959489;31.267;115.903;536.392;0.0927;64.733;212.55;97.45;2.56;334.86;0.576
23I;I;;;;;;;;;;;;416.29;0.511
23I;C;66.09079213;0.337887779;7.485943799;21.609;222.298;934.819;0.119;50.243;366.752;91.67;8.36;180.53;0.607
23I;C;66.47666548;0.23900755;5.290734808;18.65;209.833;918.784;0.14;42.958;356.867;92.07;7.95;166.76;0.636
23I;C;;;;;;;;;;;;194.14;0.593
23I;A;76.05202754;0.80057724;14.09350793;27.235;126.453;583.406;0.104;57.967;229.155;97.04;2.91;978.04;0.466
23I;A;76.06420098;0.711490573;12.54931011;29.875;139.074;561.621;0.0964;62.238;231.112;97.72;2.26;828.43;0.512
23I;A;;;;;;;;;;;;986.99;0.468
23I;G;72.65577737;1.149899323;15.14138455;13.245;73.496;638.623;0.21;28.548;209.532;96.26;3.74;803.65;0.465
23I;G;72.40613646;1.155384777;15.28284398;15.221;80.276;674.51;0.183;32.846;220.383;95.59;4.38;46.92;0.486
23I;G;;;;;;;;;;;;803.8;0.466
23I;H;48.63367334;0.696604055;8.137749451;18.864;94.361;534.371;0.141;42.407;197.701;97.32;2.65;403.49;0.527
23I;H;47.82608696;0.762285168;8.558688845;17.467;84.573;528.608;0.156;38.419;190.329;97.14;2.91;475.57;0.603
23I;H;;;;;;;;;;;;459.11;0.606
24A;Un30;75.53078556;;;;;;;;;;;;
24A;Un30;75.97134197;;;;;;;;;;;;
24A;Un25;75.53078556;;;;;;;;;;;;
24A;Un25;75.97134197;;;;;;;;;;;;
24A;Un12;75.53078556;;;;;;;;;;;;
24A;Un12;75.97134197;;;;;;;;;;;;
24A;Sep30;63.66158114;;;;;;;;;;;;
24A;Sep30;63.67827869;;;;;;;;;;;;
24A;Sep25;63.66158114;;;;;;;;;;;;
24A;Sep25;63.67827869;;;;;;;;;;;;
24B;TH-12;71.81598063;0.09;2.66;20.664;157.739;630.586;0.0699;42.944;255.4;97.56;2.47;132.25;0.402
