Experiment name or code;Treatment name or code;VS (%);>2mm(%);>2mm(%TS);d (0.1) (µm);d (0.5) (µm);d (0.9) (µm);Specific surface area (m2/g);Surface weighted mean (µm);Volume weighted mean (µm);%V < 1 mm;1 mm < %V < 2 mm;viscosity K;viscosity n
24B;TH-12;71.92540323;0.06;1.74;21.328;166.244;632.696;0.0679;44.207;259.495;97.6;2.37;107.12;0.471
24B;TH-12;;;;;;;;;;;;150.74;0.385
24B;TH-4;71.81598063;0.09;2.66;20.664;157.739;630.586;0.0699;42.944;255.4;97.56;2.47;132.25;0.402
24B;TH-4;71.92540323;0.06;1.74;21.328;166.244;632.696;0.0679;44.207;259.495;97.6;2.37;107.12;0.471
24B;TH-4;;;;;;;;;;;;150.74;0.385
24B;TS-TSB-12;71.81598063;0.09;2.66;20.664;157.739;630.586;0.0699;42.944;255.4;97.56;2.47;132.25;0.402
24B;TS-TSB-12;71.92540323;0.06;1.74;21.328;166.244;632.696;0.0679;44.207;259.495;97.6;2.37;107.12;0.471
24B;TS-TSB-12;;;;;;;;;;;;150.74;0.385
24B;TS-TSB-4;71.81598063;0.09;2.66;20.664;157.739;630.586;0.0699;42.944;255.4;97.56;2.47;132.25;0.402
24B;TS-TSB-4;71.92540323;0.06;1.74;21.328;166.244;632.696;0.0679;44.207;259.495;97.6;2.37;107.12;0.471
24B;TS-TSB-4;;;;;;;;;;;;150.74;0.385
24C;TH;73.40492735;0.23;6.38;29.422;120;535.89;0.0521;57.532;213.285;97.71;2.3;84.622;0.6538
24C;TH;73.85321101;0.33;9.05;31.299;123.61;542.375;0.0497;60.419;216.421;97.83;2.16;80.0993;0.6465
24C;TH;;;;;;;;;;;;108.3014;0.6168
24C;TS-Bo;73.40492735;0.23;6.38;29.422;120;535.89;0.0521;57.532;213.285;97.71;2.3;84.622;0.6538
24C;TS-Bo;73.85321101;0.33;9.05;31.299;123.61;542.375;0.0497;60.419;216.421;97.83;2.16;80.0993;0.6465
24C;TS-Bo;;;;;;;;;;;;108.3014;0.6168
24C;TS-TSB;73.40492735;0.23;6.38;29.422;120;535.89;0.0521;57.532;213.285;97.71;2.3;84.622;0.6538
24C;TS-TSB;73.85321101;0.33;9.05;31.299;123.61;542.375;0.0497;60.419;216.421;97.83;2.16;80.0993;0.6465
24C;TS-TSB;;;;;;;;;;;;108.3014;0.6168
24C;TS-TSB+;73.40492735;0.23;6.38;29.422;120;535.89;0.0521;57.532;213.285;97.71;2.3;84.622;0.6538
24C;TS-TSB+;73.85321101;0.33;9.05;31.299;123.61;542.375;0.0497;60.419;216.421;97.83;2.16;80.0993;0.6465
24C;TS-TSB+;;;;;;;;;;;;108.3014;0.6168
24D;TH;73.77697842;0.21;5.71;19.257;150.946;711.362;0.074;40.567;274.671;96.18;3.82;103.092;0.653
24D;TH;74.11190053;0.2;5.35;20.971;164.286;750.67;0.0684;43.858;292.975;95.37;4.65;106.6966;0.6802
24D;TH;;;;;;;;;;;;117.9635;0.6248
24D;TS-Bo;73.77697842;0.21;5.71;19.257;150.946;711.362;0.074;40.567;274.671;96.18;3.82;103.092;0.653
24D;TS-Bo;74.11190053;0.2;5.35;20.971;164.286;750.67;0.0684;43.858;292.975;95.37;4.65;106.6966;0.6802
24D;TS-Bo;;;;;;;;;;;;117.9635;0.6248
24D;TS-TSB;73.77697842;0.21;5.71;19.257;150.946;711.362;0.074;40.567;274.671;96.18;3.82;103.092;0.653
24D;TS-TSB;74.11190053;0.2;5.35;20.971;164.286;750.67;0.0684;43.858;292.975;95.37;4.65;106.6966;0.6802
24D;TS-TSB;;;;;;;;;;;;117.9635;0.6248
24D;TS-TSB+;73.77697842;0.21;5.71;19.257;150.946;711.362;0.074;40.567;274.671;96.18;3.82;103.092;0.653
24D;TS-TSB+;74.11190053;0.2;5.35;20.971;164.286;750.67;0.0684;43.858;292.975;95.37;4.65;106.6966;0.6802
24D;TS-TSB+;;;;;;;;;;;;117.9635;0.6248
24E;Cattle A;82.80637575;1.59;19.44;14.936;161.753;801.293;0.1;29.968;305.489;94.64;5.34;2556.9166;0.4682
24E;Cattle A;83.35064935;1.13;13.74;15.975;202.351;877.93;0.0926;32.412;344.313;93.14;6.86;2519.1773;0.486
24E;Cattle A;;;;;;;;;;;;2652.4816;0.4673
24E;Pig A;71.29443327;0.25;3.69;6.319;200.987;1065.134;0.175;17.173;399.427;88.11;11.86;380.1532;0.5636
24E;Pig A;71.82788945;0.28;4.19;6.665;210.621;1065.523;0.165;18.138;404.183;88.09;11.9;398.9165;0.5346
24E;Pig A;;;;;;;;;;;;431.0728;0.5202
24E;A;70.54409006;0.12;4.26;15.306;131.962;641.998;0.0892;33.629;244.09;97.12;2.82;6.6978;1.0896
24E;A;70.81850534;0.09;3.24;13.514;108.104;575.066;0.101;29.646;212.553;98.06;1.91;5.138;1.1627
24E;A;;;;;;;;;;;;6.3662;1.1022
24E;D;60.80084299;0.06;1.25;12.897;133.197;742.96;0.11;27.161;274.81;95.6;4.38;52.9525;0.7948
24E;D;61.11894687;0.04;0.9;13.005;140.141;770.063;0.109;27.499;285.825;94.96;5.05;56.1291;0.7779
24E;D;;;;;;;;;;;;54.3739;0.7835
24E;H;63.38797814;0.23;4.65;12.438;95.859;599.032;0.112;26.752;212.348;97.29;2.73;48.4686;0.7981
24E;H;62.95902076;0.22;4.51;12.498;92.56;579.208;0.112;26.836;205.26;97.52;2.49;64.4;0.7404
24E;H;;;;;;;;;;;;53.2478;0.7572
24F;Cattle B;81.28044537;1.49;14.34;15.323;112.931;726.758;0.102;29.552;261.641;95.79;4.23;12172.1789;0.2484
24F;Cattle B;82.27981458;1.96;18.86;14.632;139.098;818.371;0.103;29.189;300.4;94.12;5.87;11359.7858;0.93308
24F;Cattle B;;;;;;;;;;;;7886.5154;0.4096
24F;Pig B;65.99597586;0.01;0.46;4.148;43.776;629.469;0.281;10.692;191.287;96.88;3.1;16.5392;0.9648
24F;Pig B;66.22478386;0.01;0.41;4.2;48.302;686.881;0.275;10.917;211.941;96.11;3.88;16.0321;0.9754
24F;Pig B;;;;;;;;;;;;15.6304;0.9743
24F;A;70.41763341;0.04;1.25;12.893;65.205;421.186;0.114;26.22;153.26;98.31;1.7;17.1355;0.9457
24F;A;70.12565869;0.01;0.32;12.657;67.694;444.97;0.115;26.094;157.113;98.58;1.39;16.5786;0.992
24F;A;;;;;;;;;;;;16.1215;0.9618
24F;C;68.13002681;0.22;4.7;18.743;238.974;859.249;0.0753;39.853;352.97;93.66;6.31;316.2719;0.5411
24F;C;68.44375963;0.21;4.61;20.334;290.333;938.662;0.0696;43.11;395.424;91.77;8.21;308.1817;0.5274
24F;C;;;;;;;;;;;;329.6605;0.5038
24F;G;63.61520559;-0.01;-0.16;6.883;32.802;324.822;0.212;14.157;106.347;99.78;0.19;17.8705;0.9759
24F;G;63.55140187;-0.01;-0.26;6.859;33.985;311.691;0.211;14.191;101.803;99.97;0.03;17.8244;0.9723
24F;G;;;;;;;;;;;;17.0923;0.9838
24G;Cattle C;81.70495433;1.63;20.71;13.438;116.312;717.136;0.115;26.003;258.257;95.9;4.1;4402.5581;0.4231
24G;Cattle C;82.45090728;1.13;14.35;13.168;132.202;791.883;0.113;26.46;288.608;94.59;5.39;3952.245;0.4479
24G;Cattle C;;;;;;;;;;;;3409.4883;0.4182
24G;Pig C;71.57943067;0.04;0.98;7.231;82.846;786.338;0.174;17.262;266.809;94.78;5.19;17.3072;0.9592
24G;Pig C;71.59851301;0.02;0.47;7.359;66.661;707.873;0.176;17.076;234.195;96.07;3.95;17.2841;0.9662
24G;Pig C;;;;;;;;;;;;16.9409;0.9696
24G;A;68.76790831;0.02;0.98;11.909;61.144;434.485;0.123;24.341;155.993;97.59;2.4;4.0864;1.2607
24G;A;68.60795455;0.01;0.46;11.125;53.606;327.051;0.132;22.743;129.42;98.53;1.46;5.794;1.1731
24G;A;;;;;;;;;;;;4.4991;1.2329
24G;E;75.23484202;3.14;28.35;10.08;66.048;602.204;0.147;20.364;196.074;96.92;3.04;6834.6755;0.1328
24G;E;75.39463299;3.91;35.31;9.721;66.817;518.477;0.152;19.724;174.336;98.34;1.64;7038.2262;0.1783
24G;E;;;;;;;;;;;;5552.4075;0.1326
24G;B;72.16442527;0.69;8.92;10.017;83.079;690.405;0.15;19.983;229.654;95.66;4.32;3089.8687;0.4533
24G;B;72.80133695;0.7;9.11;10.496;92.637;671.229;0.143;20.914;231.451;96.44;3.57;2924.3795;0.4461
24G;B;;;;;;;;;;;;3116.6464;0.4257
24H;TH-12;74.9905838;0.35;9.45;20.619;86.778;503.256;0.0743;40.386;183.39;97.49;2.5;36.038;0.8388
24H;TH-12;75.46487603;0.41;10.86;24.631;101.973;558.295;0.0626;47.893;204.334;97.38;2.64;41.674;0.8181
24H;TH-12;;;;;;;;;;;;35.275;0.8135
24H;TH-4;74.9905838;0.35;9.45;20.619;86.778;503.256;0.0743;40.386;183.39;97.49;2.5;36.038;0.8388
24H;TH-4;75.46487603;0.41;10.86;24.631;101.973;558.295;0.0626;47.893;204.334;97.38;2.64;41.674;0.8181
24H;TH-4;;;;;;;;;;;;35.275;0.8135
24H;TS-TSB-12;74.9905838;0.35;9.45;20.619;86.778;503.256;0.0743;40.386;183.39;97.49;2.5;36.038;0.8388
24H;TS-TSB-12;75.46487603;0.41;10.86;24.631;101.973;558.295;0.0626;47.893;204.334;97.38;2.64;41.674;0.8181
24H;TS-TSB-12;;;;;;;;;;;;35.275;0.8135
24H;TS-TSB-4;74.9905838;0.35;9.45;20.619;86.778;503.256;0.0743;40.386;183.39;97.49;2.5;36.038;0.8388
24H;TS-TSB-4;75.46487603;0.41;10.86;24.631;101.973;558.295;0.0626;47.893;204.334;97.38;2.64;41.674;0.8181
24H;TS-TSB-4;;;;;;;;;;;;35.275;0.8135
24I;Sep30;68.02096986;;;;;;;;;;;;
24I;Sep30;67.62114537;;;;;;;;;;;;
24I;Sep25;68.02096986;;;;;;;;;;;;
24I;Sep25;67.62114537;;;;;;;;;;;;
24I;Un30;73.82378101;;;;;;;;;;;;
24I;Un30;74.33192686;;;;;;;;;;;;
24I;Un25;73.82378101;;;;;;;;;;;;
24I;Un25;74.33192686;;;;;;;;;;;;
24I;Un12;73.82378101;;;;;;;;;;;;
24I;Un12;74.33192686;;;;;;;;;;;;
24J;TH;73.42896175;0.07;2.46;;;;;;;;;;
24J;TH;74.88247146;0.09;3.19;;;;;;;;;;
24J;TS-Bo;73.42896175;0.07;2.46;;;;;;;;;;
24J;TS-Bo;74.88247146;0.09;3.19;;;;;;;;;;
24J;TS-TSB;73.42896175;0.07;2.46;;;;;;;;;;
24J;TS-TSB;74.88247146;0.09;3.19;;;;;;;;;;
24J;TS-TSB+;73.42896175;0.07;2.46;;;;;;;;;;
24J;TS-TSB+;74.88247146;0.09;3.19;;;;;;;;;;
24K;No;83.86380459;;;;;;;;;;;;
24K;No;74.00793651;;;;;;;;;;;;
24K;2-pos;83.86380459;;;;;;;;;;;;
24K;2-pos;74.00793651;;;;;;;;;;;;
24K;7-pos;83.86380459;;;;;;;;;;;;
24K;7-pos;74.00793651;;;;;;;;;;;;
24L;TH;72.50996016;0;0;6.564;59.264;600.11;0.201;14.931;187.387;97.1;2.91;;
24L;TH;71.85017026;0;0;7.353;69.388;735.049;0.18;16.691;230.482;94.91;5.11;;
24L;TS-Bo;72.50996016;0;0;6.564;59.264;600.11;0.201;14.931;187.387;97.1;2.91;;
24L;TS-Bo;71.85017026;0;0;7.353;69.388;735.049;0.18;16.691;230.482;94.91;5.11;;
24L;TS-TSB;72.50996016;0;0;6.564;59.264;600.11;0.201;14.931;187.387;97.1;2.91;;
24L;TS-TSB;71.85017026;0;0;7.353;69.388;735.049;0.18;16.691;230.482;94.91;5.11;;
24L;TS-TSB+;72.50996016;0;0;6.564;59.264;600.11;0.201;14.931;187.387;97.1;2.91;;
24L;TS-TSB+;71.85017026;0;0;7.353;69.388;735.049;0.18;16.691;230.482;94.91;5.11;;
24M;A;73.58887953;0.37;9;10.335;60.416;589.826;0.137;21.827;186.688;97.55;2.44;138.5388;0.5706
24M;A;73.02719572;0.45;10.74;9.84;52.889;503.85;0.146;20.526;161.802;98;2.01;135.5;0.5745
24M;A;;;;;;;;;;;;130.6779;0.5874
24M;A dec;67.34527687;0;0;1.641;9.088;40.979;0.706;4.252;23.578;100.04;0;78.2052;0.6879
24M;A dec;67.61751708;0;0;;;;;;;;;77.1691;0.6898
24M;A dec;;;;;;;;;;;;67.4158;0.7113
24M;A screw;68.00573888;0;0;5.526;30.765;247.274;0.254;11.821;86.229;99.99;0.01;18.6046;0.9095
24M;A screw;68.09980806;0;0;;;;;;;;;18.4028;0.9095
24M;A screw;;;;;;;;;;;;15.3433;0.939
24M;A MF liquid;67.64705882;0;0;4.23;19.404;71.051;0.339;8.849;33.961;100.02;0;16.6522;0.9339
24M;A MF liquid;67.58484998;0;0;;;;;;;;;16.4771;0.9338
24M;A MF liquid;;;;;;;;;;;;16.5714;0.9298
24M;A MF slurry;76.61712372;0;0;14.096;79.06;372.725;0.117;25.623;139.138;99.95;0.02;;
24M;A MF slurry;77.04021866;;;;;;;;;;;;
24M;A MF slurry;;;;;;;;;;;;;
24N;TH;68.18777865;1.2;17.86;9.205;141.604;769.056;0.164;18.261;287.907;95.3;4.67;743.7639;0.518
24N;TH;68.47826087;1.19;17.68;7.199;98.513;601.266;0.193;15.565;214.282;98.09;1.93;711.6777;0.5138
24N;TH;;;;;;;;;;;;809.5063;0.4496
24N;TS-TSB;68.18777865;1.2;17.86;9.205;141.604;769.056;0.164;18.261;287.907;95.3;4.67;743.7639;0.518
24N;TS-TSB;68.47826087;1.19;17.68;7.199;98.513;601.266;0.193;15.565;214.282;98.09;1.93;711.6777;0.5138
24N;TS-TSB;;;;;;;;;;;;809.5063;0.4496
24N;OSI;68.18777865;1.2;17.86;9.205;141.604;769.056;0.164;18.261;287.907;95.3;4.67;743.7639;0.518
24N;OSI;68.47826087;1.19;17.68;7.199;98.513;601.266;0.193;15.565;214.282;98.09;1.93;711.6777;0.5138
24N;OSI;;;;;;;;;;;;809.5063;0.4496
24O;TH;65.99801882;1.19;17.81;7.681;105.436;596.668;0.184;16.33;216.117;99.38;0.6;759.626;0.4661
24O;TH;65.18821126;1.35;20.3;7.411;103.919;705.5;0.188;15.987;249.726;96.3;3.68;740.0664;0.4832
24O;TH;;;;;;;;;;;;682.9066;0.5104
24O;TS-TSB;65.99801882;1.19;17.81;7.681;105.436;596.668;0.184;16.33;216.117;99.38;0.6;759.626;0.4661
24O;TS-TSB;65.18821126;1.35;20.3;7.411;103.919;705.5;0.188;15.987;249.726;96.3;3.68;740.0664;0.4832
24O;TS-TSB;;;;;;;;;;;;682.9066;0.5104
24O;OSI;65.99801882;1.19;17.81;7.681;105.436;596.668;0.184;16.33;216.117;99.38;0.6;759.626;0.4661
24O;OSI;65.18821126;1.35;20.3;7.411;103.919;705.5;0.188;15.987;249.726;96.3;3.68;740.0664;0.4832
24O;OSI;;;;;;;;;;;;682.9066;0.5104
24O;TS-TSBacid;65.99801882;1.19;17.81;7.681;105.436;596.668;0.184;16.33;216.117;99.38;0.6;759.626;0.4661
24O;TS_TSBacid;65.18821126;1.35;20.3;7.411;103.919;705.5;0.188;15.987;249.726;96.3;3.68;740.0664;0.4832
24O;TS_TSBacid;;;;;;;;;;;;682.9066;0.5104
